CPUBID,year,piat_math,piat_recog,piat_comp
77655,2002,135,125,128
58002,2002,74,79,90
90938,1998,97,101,104
99384,1998,107,105,110
58055,2002,91,102,104
99569,2006,122,113,105
95600,1992,91,109,117
78369,2000,99,88,88
69084,1994,104,106,NA
21933,2002,107,117,121
14778,1996,135,121,NA
55188,1994,114,98,104
18812,2002,102,102,114
27173,1996,119,100,110
73967,2002,100,111,102
76884,2006,98,91,106
55147,1996,86,104,NA
92748,2006,108,110,121
89513,2006,77,126,82
70107,1994,105,116,NA
82825,2012,108,110,83
17253,2002,103,99,102
82863,1998,111,102,102
70332,1992,98,93,93
21966,2014,103,107,93
24442,1992,99,116,115
13405,2006,97,94,97
99368,2000,107,106,106
43740,2004,108,113,108
42681,2004,104,112,91
59205,1996,101,106,NA
10504,1992,79,79,78
93728,1998,101,135,NA
43298,1994,107,116,102
48038,1996,98,101,NA
47982,1998,97,98,126
56048,2004,128,120,112
28308,1996,82,103,NA
93251,2010,103,112,97
88865,2006,110,118,92
94854,2004,96,135,86
93656,1994,105,107,116
55630,1992,106,116,115
14727,1992,109,100,102
74926,1994,65,77,NA
64303,1994,100,92,97
66939,1992,94,107,95
82349,1996,69,75,72
18236,2000,95,93,78
66344,1996,82,98,89
75943,2006,118,123,105
36477,2002,107,109,107
42076,2000,88,94,NA
65400,2000,135,103,125
64359,2002,122,135,NA
96918,1998,98,77,78
50617,1994,87,109,95
86478,1992,75,69,65
51733,1992,105,NA,107
68080,1998,106,109,110
33460,2002,118,99,99
36163,1992,90,105,95
99058,2002,107,118,112
52672,2000,135,121,107
78827,2006,93,111,NA
44667,1998,98,117,110
32053,2004,95,113,NA
41555,1992,89,NA,NA
39132,2002,102,101,100
65737,2008,123,126,117
91576,1998,92,105,97
47182,1996,103,135,105
53196,1992,105,94,98
38238,2010,99,125,103
23808,1994,81,79,80
20817,1994,98,85,100
46714,2010,112,126,118
99209,1992,105,128,88
12317,1996,90,101,101
85998,1992,69,85,88
68339,1998,109,106,103
NA,2004,95,106,NA
50553,1996,104,100,113
36447,2002,122,121,104
92602,1992,125,105,107
53839,2000,97,100,105
61824,2008,65,79,74
78107,2012,135,128,105
78239,1998,93,113,104
25407,2006,116,123,121
58946,1998,110,117,112
32824,1994,98,99,NA
24298,1992,75,82,80
27176,1992,107,103,104
59530,1996,90,77,85
53311,1994,100,103,89
41263,1992,97,104,110
63592,2000,122,123,116
93462,1992,87,92,88
21814,2002,90,94,85
22370,2010,126,126,126
16528,2006,114,121,107
37330,2004,96,112,93
58857,1994,125,119,135
85092,1996,92,83,89
17554,2006,81,99,112
14308,1996,114,95,106
13361,1996,84,84,85
72908,2006,80,112,103
21740,2006,92,99,97
69062,2006,121,110,120
39944,2008,135,117,110
64732,1994,98,118,114
10005,1994,95,103,103
22379,2002,105,99,92
33215,1996,72,84,86
38777,2002,113,114,114
36850,2010,89,109,NA
69838,1992,107,86,82
16769,2002,135,107,110
79929,1992,135,120,126
58678,1998,111,95,93
41227,1998,108,118,116
63452,1996,88,85,89
74853,1998,87,69,NA
23977,2006,84,95,89
14449,1998,99,101,93
18216,2000,105,107,98
61576,1992,122,119,NA
73116,1992,118,84,NA
96129,2002,100,121,107
33007,1994,78,86,NA
25280,1996,120,104,98
36477,2008,98,87,91
97718,1998,69,75,75
72074,2004,92,72,87
83472,2000,65,65,65
94764,2000,94,104,110
75271,1992,110,125,113
98594,2010,107,87,87
44922,1996,92,105,96
33640,1992,101,104,107
33215,1992,96,78,NA
96105,2000,113,116,102
70135,2008,93,108,NA
80797,1994,135,116,99
NA,2006,104,79,65
15648,1998,126,94,99
77645,2002,81,89,NA
24901,2004,110,94,113
78219,2010,87,85,79
72554,1996,119,110,97
72441,2000,93,113,102
17340,2002,95,99,103
49155,2008,113,108,94
44250,1996,92,80,107
36953,2002,102,116,105
45396,2000,104,99,65
12119,2002,82,94,96
12407,1998,109,105,101
69192,1994,109,106,NA
57203,1994,86,95,NA
62865,2004,105,115,105
75570,2012,97,105,91
43532,1996,118,114,106
97330,2006,104,92,100
94370,1992,104,116,107
70771,1994,95,101,NA
53268,1992,100,112,107
99393,1998,135,103,112
51648,1996,103,121,98
99005,2010,105,115,116
82463,2002,102,105,98
46430,1996,81,94,NA
62760,2000,105,115,NA
71956,1992,74,82,77
58412,2006,103,117,97
NA,2008,102,99,106
55039,1994,102,131,98
23982,2000,84,72,75
19274,1992,80,103,NA
27558,1992,77,84,86
53447,1992,82,85,97
51057,2000,91,107,111
62449,2002,135,135,114
40413,1994,101,101,102
73487,1992,105,92,NA
42076,2004,102,113,104
31808,1994,120,122,104
69720,1994,94,113,105
24672,1996,123,120,109
99426,1994,116,135,135
92167,2006,98,87,75
61056,2000,102,116,102
34198,2004,83,102,NA
40527,1992,86,95,93
98284,2000,95,93,NA
59884,1996,93,135,NA
90260,2002,119,122,126
81294,1998,114,125,113
37244,1992,101,98,92
93671,1996,98,100,88
62301,1994,118,105,84
68755,1992,97,NA,NA
34583,1992,90,NA,NA
92752,2006,126,117,131
38420,1994,97,101,98
87567,1996,128,110,118
95731,1992,95,108,102
76582,2002,99,109,NA
23659,1994,95,89,80
50751,1998,93,98,NA
88086,1994,84,93,90
72417,1992,109,102,NA
95041,1994,122,135,98
16276,2006,82,100,103
12003,2002,78,88,88
20365,1998,104,122,112
58567,2006,98,108,NA
51070,1998,89,105,114
39126,1996,83,74,65
88420,2002,110,89,93
19875,2006,114,122,NA
50977,2004,102,107,108
60769,2002,100,114,123
15982,1994,97,99,83
38290,1994,65,88,69
56154,2000,102,94,100
91732,2004,135,131,114
24807,2006,87,107,88
93164,1994,77,87,81
26241,1994,82,88,84
10281,1992,75,91,NA
69221,2012,114,119,107
35363,1992,90,92,NA
50777,1994,103,107,108
51701,2000,118,109,NA
98071,2010,87,93,89
77974,1998,86,84,NA
59411,1998,98,98,94
21624,1994,81,125,125
44873,1994,86,92,NA
41555,1996,84,95,97
58678,1994,92,94,97
91241,1992,89,97,97
65355,1996,113,118,105
10215,1994,110,99,108
49594,2000,121,135,109
67044,1994,94,117,118
29917,2000,84,97,98
18753,1998,74,80,77
80672,1996,128,109,116
99711,1992,113,115,NA
47003,1992,74,95,NA
83464,2000,98,102,99
15826,1992,93,88,NA
59253,1998,103,82,94
67012,1998,104,107,96
35686,2000,78,88,91
26919,1992,97,96,96
37335,1998,86,86,90
69733,1992,90,97,94
35683,1996,112,115,113
40307,1994,94,112,85
46493,2014,103,99,88
87722,1994,78,72,72
37221,2008,65,65,NA
73891,2006,65,65,NA
79743,1996,125,112,116
51495,2010,109,108,100
38645,1996,98,99,NA
98415,1998,135,112,107
71131,2004,118,112,112
52278,1992,84,94,80
25683,1998,118,122,113
32938,1998,92,95,105
93989,1994,99,117,114
73580,1994,80,72,NA
89133,1992,81,72,NA
63996,2012,123,128,121
77372,2010,86,101,83
60710,2002,111,122,120
66802,2004,112,107,101
40795,1994,90,85,99
26880,1994,107,94,95
68919,2004,112,117,125
69280,2004,89,116,99
75036,2006,125,116,113
40681,2000,113,118,118
15446,1992,89,85,97
80766,1998,72,108,NA
68247,1996,105,116,116
70683,1992,128,131,121
49589,1998,88,121,NA
60809,2004,119,135,135
31897,2002,112,107,114
75774,1996,65,65,NA
74003,1992,93,103,114
73886,2004,103,98,102
39541,1992,86,85,NA
37051,1996,87,105,86
85249,1994,107,122,92
26479,2000,128,135,NA
83665,1996,135,117,107
NA,2002,84,92,97
65286,2010,113,101,91
37146,1994,114,111,99
54201,1998,93,94,NA
48081,2000,99,99,100
36016,1998,93,111,105
66494,2006,100,93,102
77992,1996,103,101,80
14146,1998,122,128,116
90682,1992,100,101,105
89134,2008,117,112,100
68650,2000,94,106,113
89101,2006,114,104,119
14640,1992,95,101,96
59956,2002,93,99,107
20018,2002,119,104,102
88681,2002,72,105,75
78739,1996,89,121,110
21872,2006,69,87,85
27660,2004,101,131,106
16645,1992,86,114,95
27864,1992,72,79,NA
18397,2000,114,112,111
83718,1992,96,99,109
19324,1992,93,111,NA
44088,1994,116,115,115
41829,1998,100,109,108
69583,1998,77,90,74
13405,2012,NA,75,65
71240,2000,100,114,112
33393,2004,112,112,98
32529,2008,91,135,78
65198,1996,80,80,91
53466,1998,78,69,69
91886,1998,87,107,110
80713,1996,105,115,NA
97372,1992,112,103,105
29383,1994,108,111,109
21931,1994,101,80,NA
53970,1996,99,94,87
42674,1996,111,110,110
58670,2002,110,120,111
34964,1992,103,96,83
71956,1994,69,81,77
98256,1994,79,90,98
49310,1992,119,115,NA
87713,1996,91,75,75
14072,2010,91,82,74
72431,1992,82,110,128
35726,1996,102,101,100
99663,1996,107,120,106
76526,1992,93,108,112
15670,2004,95,93,86
12071,1992,93,105,87
51306,2006,126,131,118
62814,2004,111,103,102
74198,2000,104,115,99
NA,2010,107,113,91
14637,2014,83,97,88
49927,2004,91,95,85
87226,2002,118,94,96
67580,2006,119,120,115
92524,1992,93,99,NA
13470,2010,98,81,98
45471,2006,92,93,103
15655,1994,109,96,101
93140,2002,101,99,98
45261,1994,101,94,NA
73613,1996,84,116,112
69231,1994,90,103,108
66429,2000,84,99,77
12622,1996,102,89,99
54884,2000,96,98,NA
17208,1998,90,92,NA
96523,1998,65,65,NA
47188,2002,89,65,74
86865,1996,113,135,135
71351,1992,100,100,91
40959,2002,103,116,111
11641,1996,116,100,104
59874,1996,92,113,100
50281,2000,101,109,106
89789,1994,95,82,84
57439,1996,119,109,119
48535,1994,113,116,102
15604,1992,94,109,96
75502,1992,114,113,114
11107,2000,91,95,111
44787,1998,98,116,86
58362,1994,119,116,107
48141,1994,120,113,114
59344,2004,93,87,102
64017,1992,85,78,74
13675,2004,114,98,107
70801,2006,102,99,91
53062,2002,99,103,103
89331,2000,100,89,NA
46019,2000,122,116,118
48425,1994,115,107,111
98049,2000,118,103,NA
24676,1998,113,112,102
85453,1992,135,114,NA
34651,1994,84,89,NA
46670,2002,122,135,107
68132,1992,112,112,105
70323,2000,89,82,80
21953,1992,80,NA,NA
99280,2002,83,88,86
22915,1992,93,95,75
79180,1996,89,105,97
21530,1996,65,NA,NA
42258,1992,96,82,NA
56807,2000,135,119,114
78488,1998,118,135,117
42000,1996,98,95,NA
17845,2002,107,119,114
86091,1996,99,100,82
64966,2008,106,119,89
25279,2006,123,107,106
74049,1992,89,103,94
94802,1992,92,116,105
39878,2002,82,94,88
70826,1996,135,107,121
62106,1992,105,88,97
17590,1996,102,104,98
22263,1996,99,108,105
86664,1994,89,82,NA
58741,1994,105,100,108
45550,2006,110,116,94
13845,1998,104,92,80
68922,1992,87,105,99
97510,2000,135,135,119
51309,2004,91,106,113
20592,1998,78,105,NA
44459,2004,106,104,92
22487,1994,101,97,111
52488,1996,126,116,NA
62956,1998,103,98,NA
84769,1998,101,113,NA
60953,1994,86,86,82
16569,1992,79,69,72
10906,2008,100,96,91
40493,2004,115,109,92
55104,1998,119,105,93
36323,1998,105,69,65
52373,1994,79,87,88
86021,2000,107,117,NA
49107,1998,109,123,115
72249,1992,96,96,95
63157,2004,114,105,112
41793,2004,99,102,93
29378,1998,111,135,NA
91821,1998,135,121,NA
47071,2002,78,89,84
79559,1994,99,108,89
29199,1996,107,104,112
34844,1998,119,125,135
99027,1992,89,93,100
75482,1996,113,100,106
25374,1994,110,103,92
54170,2004,126,128,115
40928,2014,110,112,107
41986,2002,100,106,98
82088,1998,97,93,NA
56484,2002,101,105,NA
94540,1992,94,116,97
51554,1992,91,113,113
45290,1998,135,74,65
58181,2010,102,100,87
11466,2006,115,111,110
36432,1994,118,120,119
12393,1996,99,114,115
31283,1998,99,101,106
14422,2000,126,108,119
85846,1992,82,90,110
90879,1998,78,115,100
66356,2012,113,100,97
32348,2006,125,113,122
45967,1992,91,85,NA
69854,1998,128,135,109
65875,1996,95,105,NA
77760,2004,105,108,95
66981,1998,91,99,97
65111,1992,86,96,104
29269,2006,120,116,113
75055,1998,92,82,85
55733,2006,112,116,122
38903,2010,115,97,103
48286,1994,97,92,96
75778,2006,135,116,114
92609,1994,88,115,NA
30391,1994,86,87,97
31326,1992,93,112,106
47913,1992,82,95,NA
66159,1994,103,117,118
52373,1992,86,94,NA
27893,1996,95,72,80
30484,1998,94,128,114
15221,1994,111,99,98
34557,2000,108,87,97
93895,2004,100,94,86
15047,1992,120,125,NA
67681,2008,95,88,74
44047,2006,128,131,108
54359,2006,119,123,118
86425,1994,110,126,120
26103,1996,90,109,NA
48502,1996,93,92,80
30842,1994,93,101,102
33705,1998,117,119,102
13963,1992,90,100,99
21987,1994,97,87,84
29936,2004,97,112,97
86322,1992,78,77,72
56484,2008,92,109,101
55190,2006,121,105,99
70327,2000,99,94,103
50954,1998,82,97,95
89980,1994,94,112,98
41922,2002,91,105,93
13734,1994,104,101,98
88075,1994,82,74,93
41378,1994,114,135,114
97872,2008,118,90,88
72346,2006,135,125,115
41452,1998,89,NA,NA
31692,2004,107,109,109
22886,1996,88,102,94
14931,2006,123,108,107
65493,2006,135,121,107
22918,2006,107,95,116
77169,2000,96,117,86
22040,2004,91,108,113
33393,2008,100,110,102
91415,2010,117,125,125
67874,1992,106,121,122
41745,1992,121,105,107
97398,1998,81,78,NA
96028,1996,135,114,116
76105,1992,105,103,111
46834,2002,93,103,97
85410,1992,65,65,65
15382,2004,114,108,115
81773,1992,107,119,102
54216,1992,94,114,103
31471,2006,108,102,102
68772,2004,103,120,97
73709,2006,100,131,97
37252,1994,107,121,105
89133,1994,108,65,78
88713,2002,95,97,91
11266,1998,77,83,65
25806,2004,96,111,108
79466,2000,102,97,86
28009,1992,104,113,101
35805,2008,102,88,83
61336,1992,109,119,123
NA,1994,81,84,NA
98781,1992,80,98,99
41194,1996,93,114,NA
29101,1992,107,106,NA
89425,1992,116,128,111
69315,1998,125,120,111
38653,1994,103,105,99
76249,2008,111,109,NA
53928,1998,122,102,112
94620,1996,101,104,100
89038,2006,97,135,NA
40173,2002,105,107,104
50240,2006,90,97,98
35680,2010,97,135,NA
88741,1994,94,93,94
51521,1996,109,104,104
79311,2000,97,112,111
34837,2002,95,118,107
18363,2000,98,81,108
78005,1998,97,102,93
12236,2002,131,135,121
98739,1994,109,131,121
82061,1994,72,109,77
29831,1998,126,135,120
45873,1994,79,79,69
82297,1992,96,108,91
66106,1994,74,84,NA
47318,1998,115,88,104
11666,1996,99,107,120
95932,1994,96,112,99
77372,2006,72,103,84
95932,1996,86,95,109
56259,2000,117,115,NA
16947,1998,89,94,NA
25921,2000,114,135,NA
57126,2012,84,78,69
91256,1994,111,111,114
23348,2004,65,65,NA
33498,2006,78,113,97
51510,1992,110,118,118
39305,1996,93,77,80
14099,2000,109,98,97
45714,2004,93,100,86
67259,1996,89,80,NA
79037,1998,122,97,103
66434,1994,79,77,81
36666,1998,121,114,115
70917,2010,110,121,108
91972,1998,120,120,107
46137,1992,108,108,119
40918,2000,104,131,120
98170,1994,84,86,89
17218,2010,119,119,104
48856,1992,104,111,119
17176,2000,102,116,121
89588,2010,97,135,99
27596,1992,94,94,97
36154,2000,114,116,121
17953,2000,118,120,122
86840,2004,99,86,82
45319,2000,110,94,97
95231,1992,100,102,95
22659,1998,105,88,87
94001,2006,113,115,98
99753,2006,96,128,97
98799,2002,122,114,112
10799,1992,75,NA,82
64093,1992,104,106,117
77656,1998,80,103,93
83413,1998,93,94,88
88956,1998,69,75,78
31773,2008,117,116,108
42859,1996,98,98,NA
86865,2004,116,125,107
