CASEID_1979,CPUBID1,CPUBID2,CPUBID3,CPUBID4,CPUBID5,CPUBID6
1662,99002,87948,NA,NA,NA,NA
1666,10633,25807,97794,NA,NA,NA
1671,31017,25909,NA,NA,NA,NA
1674,22126,26112,81832,65743,NA,NA
1675,81048,21450,16746,66791,NA,NA
1676,80672,22262,NA,NA,NA,NA
1683,27433,NA,NA,NA,NA,NA
1685,77096,NA,NA,NA,NA,NA
1689,75435,96632,86576,NA,NA,NA
1690,38432,43800,97563,41594,NA,NA
1691,14015,17524,NA,NA,NA,NA
1699,86472,85856,NA,NA,NA,NA
1704,85128,67383,29635,29175,43529,NA
1705,82193,11698,18287,NA,15036,NA
1714,62492,NA,NA,NA,NA,NA
1716,49616,21570,NA,NA,NA,NA
1719,89624,NA,NA,NA,NA,NA
1720,33662,NA,NA,NA,NA,NA
1722,89771,47359,40614,NA,NA,NA
1723,82668,18995,11091,NA,NA,NA
1725,20816,98049,NA,NA,NA,NA
1726,60767,62707,80149,NA,NA,NA
1727,80539,41095,NA,NA,NA,NA
1729,59295,27445,97999,NA,NA,NA
1730,39857,NA,NA,NA,NA,NA
1732,20623,28908,NA,NA,NA,NA
1733,35621,21136,NA,NA,NA,NA
1734,11965,37911,NA,NA,NA,NA
1735,94095,89682,22040,NA,NA,NA
1736,98483,26076,NA,NA,NA,NA
1737,27307,NA,NA,NA,NA,NA
1738,45278,NA,NA,NA,NA,NA
1740,91782,37806,NA,NA,NA,NA
1745,50751,54891,36867,NA,NA,NA
1747,49960,46120,NA,NA,NA,NA
1749,44992,NA,NA,NA,NA,NA
1751,37543,NA,NA,NA,NA,NA
1752,22449,31389,NA,NA,NA,NA
1754,28034,33953,60576,96531,20187,48256
1757,97402,62764,NA,NA,NA,NA
1758,12087,13470,NA,NA,NA,NA
1760,36613,81301,14580,NA,NA,NA
1766,97098,NA,NA,NA,NA,NA
1768,28671,NA,NA,NA,NA,NA
1769,21807,96969,NA,NA,NA,NA
1770,32707,27528,NA,NA,NA,NA
1775,88116,42564,NA,NA,NA,NA
1776,98910,92167,NA,NA,NA,NA
1778,73398,98057,NA,NA,NA,NA
1785,73816,97782,14081,NA,NA,NA
1786,27585,11845,42882,43903,NA,NA
1789,21032,41378,17715,NA,NA,NA
1794,48257,24724,NA,NA,NA,NA
1795,85800,90956,NA,NA,NA,NA
1797,91529,NA,NA,NA,NA,NA
1799,15111,89220,99694,NA,NA,NA
1801,70105,NA,NA,NA,NA,NA
1803,56704,26479,NA,NA,NA,NA
1804,21415,80829,14931,NA,NA,NA
1808,72420,30425,NA,NA,NA,NA
1814,55296,67109,NA,NA,NA,NA
1815,26718,92788,NA,NA,NA,NA
1816,68737,84142,75705,18467,NA,NA
1818,49975,22972,NA,NA,NA,NA
1824,10520,22164,NA,NA,NA,NA
1825,54705,42468,19145,66222,NA,NA
1826,45937,21867,NA,NA,NA,NA
1828,52202,NA,NA,NA,NA,NA
1829,47609,21716,89911,33509,NA,NA
1831,54479,22052,NA,NA,NA,NA
1832,34702,23352,59543,NA,NA,NA
1833,93347,86355,97988,NA,NA,NA
1834,48352,87816,21476,NA,NA,NA
1838,11214,37244,35013,NA,NA,NA
1839,26893,59057,NA,NA,NA,NA
1840,83635,NA,NA,NA,NA,NA
1842,66781,NA,NA,NA,NA,NA
1844,89315,76766,87567,67171,93656,79554
1847,49302,NA,NA,NA,NA,NA
1848,96924,63196,NA,NA,NA,NA
1849,79964,98357,NA,NA,NA,NA
1852,22825,NA,NA,NA,NA,NA
1853,30190,49907,34561,22523,NA,NA
1856,50069,NA,NA,NA,NA,NA
1858,45168,25296,NA,NA,NA,NA
1862,57488,58975,20196,63943,85025,NA
1863,17969,58366,20206,NA,NA,NA
1865,71314,NA,NA,NA,NA,NA
1866,82854,NA,NA,NA,NA,NA
1868,36525,96534,NA,NA,NA,NA
1870,51016,NA,NA,NA,NA,NA
1876,44345,92705,11053,NA,NA,NA
1878,41902,58258,24663,NA,NA,NA
1880,10869,99713,NA,NA,NA,NA
1885,75336,13970,NA,NA,NA,NA
1886,18961,43141,NA,NA,NA,NA
1892,87572,NA,NA,NA,NA,NA
1896,70825,30314,NA,NA,NA,NA
1898,45694,72873,NA,NA,NA,NA
1900,13669,88201,55141,NA,NA,NA
1902,34977,45236,NA,NA,NA,NA
1904,71852,75391,66737,NA,NA,NA
1905,89331,56058,36824,15681,NA,NA
1906,68303,26355,22767,36389,NA,NA
1907,81483,NA,NA,NA,NA,NA
1912,59330,92969,NA,NA,NA,NA
1915,48116,NA,NA,NA,NA,NA
1922,47799,41742,NA,NA,NA,NA
1926,30651,32049,NA,NA,NA,NA
1927,24867,94754,26050,46458,NA,NA
1928,17938,24216,93511,NA,NA,NA
1932,58346,NA,NA,NA,NA,NA
1933,17251,66852,40212,NA,NA,NA
1934,77129,50119,NA,NA,NA,NA
1935,65874,66965,NA,NA,NA,NA
1936,18667,19372,NA,NA,NA,NA
1937,85810,81136,31823,NA,NA,NA
1938,29498,20872,21933,NA,NA,NA
1940,30905,NA,NA,NA,NA,NA
1947,75426,NA,NA,NA,NA,NA
1948,29267,NA,NA,NA,NA,NA
1951,69771,77334,NA,NA,NA,NA
1953,39474,71832,NA,NA,NA,NA
1954,31554,23078,89101,NA,NA,NA
1960,44262,43139,NA,NA,NA,NA
1962,69730,80601,NA,NA,NA,NA
1965,66463,87174,NA,NA,NA,NA
1972,94458,NA,NA,NA,NA,NA
1974,37292,18121,NA,NA,NA,NA
1980,49727,85503,62398,NA,NA,NA
1986,50977,NA,NA,NA,NA,NA
1990,25190,99140,NA,NA,NA,NA
1993,91842,95932,13032,NA,NA,NA
1994,13380,91787,NA,NA,NA,NA
1995,14351,65485,NA,NA,NA,NA
1997,63116,68689,50649,28059,NA,NA
2002,14876,30561,37490,78156,13432,44273
2003,28761,NA,NA,NA,NA,NA
2004,31973,NA,NA,NA,NA,NA
2008,74277,55488,40560,NA,NA,NA
2009,69865,87275,NA,NA,NA,NA
2012,82045,81456,77992,NA,NA,NA
2013,94960,70950,NA,NA,NA,NA
2016,78786,91350,NA,NA,NA,NA
2021,96281,77548,71891,NA,NA,NA
2027,57470,32477,NA,NA,NA,NA
2030,65290,NA,NA,NA,NA,NA
2035,33041,NA,NA,NA,NA,NA
2036,43669,60729,28913,NA,NA,NA
2042,69062,46714,NA,NA,NA,NA
2046,50311,74436,NA,NA,NA,NA
2049,83464,NA,NA,NA,NA,NA
2050,59211,59848,NA,NA,NA,NA
2052,97759,50090,NA,NA,NA,NA
2053,55047,NA,NA,NA,NA,NA
2054,98035,30791,47096,23490,NA,NA
2057,68201,20512,NA,NA,NA,NA
2058,23000,86220,NA,NA,NA,NA
2061,92775,NA,NA,NA,NA,NA
2062,47884,33654,NA,NA,NA,NA
2063,23679,NA,NA,NA,NA,NA
2064,89425,NA,NA,NA,NA,NA
2066,45910,97976,92356,48038,NA,NA
2068,77595,76305,NA,NA,NA,NA
2070,96236,67361,NA,NA,NA,NA
2071,62421,57971,33114,NA,NA,NA
2072,16324,27692,NA,NA,NA,NA
2073,33426,23816,NA,NA,NA,NA
2074,84800,45285,96712,NA,NA,NA
2076,69039,70675,31801,NA,NA,NA
2077,47786,60586,19679,97158,NA,NA
2079,44897,19482,NA,NA,NA,NA
2082,79549,NA,NA,NA,NA,NA
2083,12065,72117,NA,NA,NA,NA
2088,68339,12859,NA,NA,NA,NA
2094,22806,45560,94294,NA,NA,NA
2098,61782,45920,41710,25650,NA,NA
2099,33711,61897,34025,NA,NA,NA
2102,42026,38543,75808,11039,21579,NA
2103,36318,98034,24037,45341,NA,NA
2104,53811,97883,NA,NA,NA,NA
2105,40808,35202,10747,68322,NA,NA
2112,83127,48722,60794,NA,NA,NA
2119,45767,48065,20879,68119,NA,NA
2120,17291,NA,NA,NA,NA,NA
2121,52808,33083,NA,NA,NA,NA
2123,45396,89111,NA,NA,NA,NA
2124,48292,NA,NA,NA,NA,NA
2125,13596,72829,NA,NA,NA,NA
2126,56089,NA,NA,NA,NA,NA
2128,80358,10704,NA,NA,NA,NA
2130,35205,96528,11461,NA,NA,NA
2131,77467,88206,NA,NA,NA,NA
2132,60183,NA,NA,NA,NA,NA
2133,98410,NA,NA,NA,NA,NA
2134,72823,19383,NA,NA,NA,NA
2137,37979,36500,65832,NA,NA,NA
2139,31361,74078,57743,51252,NA,NA
2140,83758,NA,NA,NA,NA,NA
2142,27402,47825,NA,NA,NA,NA
2150,84607,NA,NA,NA,NA,NA
2153,58532,76797,81485,41158,NA,NA
2154,10528,76977,NA,NA,NA,NA
2155,39623,39023,NA,NA,NA,NA
2156,93457,NA,NA,NA,NA,NA
2158,83394,75835,NA,NA,NA,NA
2161,76967,28184,NA,NA,NA,NA
2164,44324,NA,NA,NA,NA,NA
2167,20844,20714,NA,NA,NA,NA
2174,49234,91857,79456,33908,NA,NA
2175,53367,88724,NA,NA,NA,NA
2176,14367,NA,NA,NA,NA,NA
2179,16839,87483,60425,NA,NA,NA
2181,47900,23620,NA,NA,NA,NA
2186,79362,32369,NA,NA,NA,NA
2190,44655,91828,25233,NA,NA,NA
2193,29472,32015,NA,NA,NA,NA
2196,79117,75975,NA,NA,NA,NA
2200,39627,64686,NA,NA,NA,NA
2203,77281,NA,NA,NA,NA,NA
2204,12043,60859,NA,NA,NA,NA
2206,84045,23730,28912,15200,82278,56587
2210,14259,98746,67000,NA,NA,NA
2211,41701,NA,NA,NA,NA,NA
2212,56503,66218,NA,NA,NA,NA
2214,53066,12904,NA,NA,NA,NA
2215,88925,89719,71909,41238,NA,NA
2217,12571,30942,39506,NA,NA,NA
2221,43390,NA,NA,NA,NA,NA
2224,78035,17958,NA,NA,NA,NA
2225,22113,NA,NA,NA,NA,NA
2230,83605,89187,NA,NA,NA,NA
2232,26034,95173,NA,NA,NA,NA
2234,76165,86866,NA,NA,NA,NA
2235,32975,96116,NA,NA,NA,NA
2237,78488,51884,63530,NA,NA,NA
2240,27945,11209,36534,NA,NA,NA
2243,15949,87637,NA,NA,NA,NA
2246,63112,NA,NA,NA,NA,NA
2247,73709,21463,NA,NA,NA,NA
2249,57642,16749,NA,NA,NA,NA
2250,20785,28160,51261,NA,NA,NA
2251,96851,12714,NA,NA,NA,NA
2252,77045,NA,NA,NA,NA,NA
2253,29355,36562,NA,NA,NA,NA
2254,38889,NA,NA,NA,NA,NA
2257,72606,NA,NA,NA,NA,NA
2260,32892,62007,26183,83899,NA,NA
2262,50671,56901,57934,66730,58936,NA
2265,34717,76730,43852,NA,NA,NA
2267,91990,59618,65313,13935,95569,13530
2268,47611,NA,NA,NA,NA,NA
2270,22263,60260,NA,NA,NA,NA
2271,29560,13129,NA,NA,NA,NA
2272,58550,47861,NA,NA,NA,NA
2274,24934,76907,NA,NA,NA,NA
2275,29258,59935,NA,NA,NA,NA
2278,74823,98687,NA,NA,NA,NA
2280,48319,NA,NA,NA,NA,NA
2281,35658,66056,48647,NA,NA,NA
2285,68467,46122,NA,NA,NA,NA
2286,50174,NA,NA,NA,NA,NA
2287,30613,20510,49635,NA,NA,NA
2288,83789,28132,NA,NA,NA,NA
2289,69549,NA,NA,NA,NA,NA
2290,45027,74080,NA,NA,NA,NA
2292,69750,39706,35920,NA,NA,NA
2294,76298,64535,NA,NA,NA,NA
2296,52234,40394,NA,NA,NA,NA
2299,28420,79743,42476,NA,NA,NA
2301,53928,91987,NA,NA,NA,NA
2308,43854,78700,NA,NA,NA,NA
2311,22936,49113,44237,NA,NA,NA
2313,30756,56586,NA,NA,NA,NA
2315,72805,21671,92524,NA,NA,NA
2317,44073,79998,NA,NA,NA,NA
2319,25854,64239,79136,72060,63089,41471
2322,90283,NA,NA,NA,NA,NA
2333,61000,NA,NA,NA,NA,NA
2339,62760,86021,NA,NA,NA,NA
2340,40485,47555,58044,NA,NA,NA
2342,94186,45967,NA,NA,NA,NA
2347,80636,73039,71761,NA,NA,NA
2348,80108,NA,NA,NA,NA,NA
2355,15456,61544,31922,NA,NA,NA
2357,87243,39262,NA,NA,NA,NA
2359,89432,15606,25149,NA,NA,NA
2360,37759,50287,NA,NA,NA,NA
2362,39550,74173,98939,NA,NA,NA
2368,46986,72032,NA,NA,NA,NA
2369,29228,NA,NA,NA,NA,NA
2373,43436,27754,NA,NA,NA,NA
2374,22722,65959,97282,15543,NA,NA
2375,56414,NA,NA,NA,NA,NA
2383,38756,NA,NA,NA,NA,NA
2388,88430,32722,NA,NA,NA,NA
2394,24820,13239,NA,NA,NA,NA
2395,73127,94927,32721,49546,89513,NA
2396,47733,10807,18028,17241,NA,NA
2398,83160,97523,38042,92661,NA,NA
2399,27762,30868,96742,NA,NA,NA
2400,43835,49470,NA,NA,NA,NA
2402,43714,79178,15960,77495,NA,NA
2404,60557,52864,72515,48834,NA,NA
2405,71810,NA,NA,NA,NA,NA
2407,67661,70731,NA,NA,NA,NA
2408,57554,52600,50965,24346,NA,NA
2409,77134,96105,NA,NA,NA,NA
2410,19647,32080,NA,NA,NA,NA
2411,60435,54074,NA,NA,NA,NA
2412,73373,51646,34837,37991,NA,NA
2414,11830,NA,NA,NA,NA,NA
2416,93989,85099,79356,NA,NA,NA
2418,44266,NA,NA,NA,NA,NA
2420,26811,53491,NA,NA,NA,NA
2424,76273,NA,NA,NA,NA,NA
2426,84146,NA,NA,NA,NA,NA
2430,79247,69924,NA,NA,NA,NA
2433,44158,85368,NA,NA,NA,NA
2434,31593,59780,NA,NA,NA,NA
2435,85096,NA,NA,NA,NA,NA
2436,88393,16680,NA,NA,NA,NA
2437,14276,NA,NA,NA,NA,NA
2441,36423,52223,69179,NA,NA,NA
2442,89469,55751,NA,NA,NA,NA
2444,62995,49423,52549,51683,NA,NA
2447,55697,52405,18070,18723,NA,NA
2448,36576,22065,NA,NA,NA,NA
2450,32936,24225,NA,NA,NA,NA
2454,83562,99302,NA,NA,NA,NA
2457,73621,NA,NA,NA,NA,NA
2458,29537,88095,NA,NA,NA,NA
2459,65111,77727,98089,NA,NA,NA
2462,61933,79159,NA,NA,NA,NA
2471,69051,NA,NA,NA,NA,NA
2474,70817,41282,NA,NA,NA,NA
2478,87196,11175,NA,NA,NA,NA
2480,73108,60386,NA,NA,NA,NA
2482,75616,92034,18778,97857,NA,NA
2483,23389,30720,NA,NA,NA,NA
2484,65901,74904,32348,71253,NA,NA
2485,11778,NA,NA,NA,NA,NA
2488,37234,19316,61938,40502,NA,NA
2492,27287,87633,47173,30922,62383,NA
2496,13056,NA,NA,NA,NA,NA
2499,18261,70781,NA,NA,NA,NA
2500,41286,NA,NA,NA,NA,NA
2501,93477,NA,NA,NA,NA,NA
2503,21665,NA,NA,NA,NA,NA
2505,10822,11871,NA,NA,NA,NA
2507,75186,87983,NA,NA,NA,NA
2510,25806,32628,28109,NA,NA,NA
2511,69432,NA,NA,NA,NA,NA
2514,19903,44754,NA,NA,NA,NA
2515,97082,17301,91564,NA,NA,NA
2519,32513,NA,NA,NA,NA,NA
2521,35026,51158,NA,NA,NA,NA
2523,30138,91974,56447,NA,NA,NA
2525,93994,46707,22173,NA,NA,NA
2528,74812,83947,NA,NA,NA,NA
2529,18901,19572,NA,NA,NA,NA
2530,65393,21099,NA,NA,NA,NA
2531,14984,63159,15718,73439,NA,NA
2533,53591,NA,NA,NA,NA,NA
2536,48039,72383,17044,61838,NA,NA
2538,15954,65321,42076,NA,NA,NA
2542,52672,52253,NA,NA,NA,NA
2544,29164,82460,NA,NA,NA,NA
2549,75539,53784,58717,NA,NA,NA
2551,70385,NA,NA,NA,NA,NA
2552,96677,54434,NA,NA,NA,NA
2554,90073,NA,NA,NA,NA,NA
2558,73070,26928,21532,NA,NA,NA
2559,72486,71076,10672,NA,NA,NA
2560,10578,48312,13046,NA,NA,NA
2564,63532,90285,17027,69823,NA,NA
2565,19188,69925,22034,NA,NA,NA
2566,39614,NA,NA,NA,NA,NA
2567,56627,NA,NA,NA,NA,NA
2569,76396,32017,13145,NA,NA,NA
2570,43920,42521,NA,NA,NA,NA
2573,94188,NA,NA,NA,NA,NA
2577,74484,60423,NA,NA,NA,NA
2580,14409,NA,NA,NA,NA,NA
2585,24063,NA,NA,NA,NA,NA
2588,77919,NA,NA,NA,NA,NA
2591,14315,NA,NA,NA,NA,NA
2592,97499,NA,NA,NA,NA,NA
2596,76780,NA,NA,NA,NA,NA
2599,98602,50824,70312,NA,NA,NA
2605,68667,NA,NA,NA,NA,NA
2606,42977,54574,NA,NA,NA,NA
2607,54938,49487,NA,NA,NA,NA
2608,52301,NA,NA,NA,NA,NA
2615,97604,46554,34609,40512,NA,NA
2623,81102,NA,NA,NA,NA,NA
2626,89967,54105,NA,NA,NA,NA
2627,63394,88794,NA,NA,NA,NA
2629,95546,NA,NA,NA,NA,NA
2635,49110,NA,NA,NA,NA,NA
2636,82334,NA,NA,NA,NA,NA
2638,57536,NA,NA,NA,NA,NA
2640,75744,93277,NA,NA,NA,NA
2645,67350,15679,NA,NA,NA,NA
2646,99096,NA,NA,NA,NA,NA
2648,23247,52524,NA,NA,NA,NA
2651,89651,69641,86770,NA,NA,NA
2652,10490,40362,NA,NA,NA,NA
2654,98895,50954,59956,NA,NA,NA
2655,24953,25653,17708,53774,70553,45980
2659,10995,46834,NA,NA,NA,NA
2662,55368,66815,34685,NA,NA,NA
2663,32236,46931,62275,29404,30203,96229
2664,86392,NA,NA,NA,NA,NA
2669,95806,80038,NA,NA,NA,NA
2670,72667,19239,NA,NA,NA,NA
2672,62111,40263,NA,NA,NA,NA
2675,87066,26351,61334,74312,NA,NA
2677,17947,90460,NA,NA,NA,NA
2679,80961,72431,99514,96982,51057,76030
2680,27654,75404,NA,NA,NA,NA
2681,84377,85916,12072,90794,NA,NA
2683,53313,18519,83923,91315,95316,NA
2689,27049,47231,NA,NA,NA,NA
2690,11885,15431,96247,NA,NA,NA
2691,76317,59469,NA,NA,NA,NA
2692,93458,39449,29572,NA,NA,NA
2698,36395,NA,NA,NA,NA,NA
2699,36875,24396,NA,NA,NA,NA
2700,88241,45442,NA,NA,NA,NA
2701,24142,NA,NA,NA,NA,NA
2704,97024,NA,NA,NA,NA,NA
2705,17722,30803,84194,NA,NA,NA
2706,99058,39422,NA,NA,NA,NA
2709,78453,NA,NA,NA,NA,NA
2710,89788,85764,66373,NA,NA,NA
2712,22317,50129,29722,NA,NA,NA
2720,42944,72741,20767,NA,NA,NA
2722,84418,NA,NA,NA,NA,NA
2723,87314,68588,NA,NA,NA,NA
2727,51569,NA,NA,NA,NA,NA
2729,46378,66138,33108,NA,NA,NA
2731,32385,36953,NA,NA,NA,NA
2735,38361,NA,NA,NA,NA,NA
2736,93527,NA,NA,NA,NA,NA
2737,21175,10866,17841,NA,NA,NA
2739,72579,45550,NA,NA,NA,NA
2740,48882,20355,NA,NA,NA,NA
2742,67343,15889,NA,NA,NA,NA
2743,11356,71168,NA,NA,NA,NA
2744,79099,NA,NA,NA,NA,NA
2746,75926,16594,NA,NA,NA,NA
2748,86917,10733,NA,NA,NA,NA
2752,52592,21048,37096,NA,NA,NA
2753,71147,66675,NA,NA,NA,NA
2756,43051,17082,NA,NA,NA,NA
2757,24211,98586,24098,NA,NA,NA
2758,97793,82287,NA,NA,NA,NA
2769,33147,48140,45216,NA,NA,NA
2770,17050,39729,62342,NA,NA,NA
2771,32055,32232,40695,NA,NA,NA
2775,58630,92198,65623,NA,NA,NA
2778,99564,97677,52458,NA,NA,NA
2781,46957,50553,89260,NA,NA,NA
2784,73740,NA,NA,NA,NA,NA
2785,21718,NA,NA,NA,NA,NA
2789,70270,64775,58594,NA,NA,NA
2790,78008,84107,NA,NA,NA,NA
2792,17802,75061,39142,NA,NA,NA
2795,79400,69000,66865,46835,NA,NA
2796,29850,17572,47032,46307,NA,NA
2804,43713,91049,NA,NA,NA,NA
2808,31296,23234,57217,NA,NA,NA
2809,30406,58783,NA,NA,NA,NA
2810,63224,NA,NA,NA,NA,NA
2814,64494,46699,NA,NA,NA,NA
2817,51076,13560,15234,NA,NA,NA
2818,66293,84383,NA,NA,NA,NA
2819,49474,74199,NA,NA,NA,NA
2822,91746,43291,NA,NA,NA,NA
2823,11851,34552,NA,NA,NA,NA
2826,17845,53839,67591,NA,NA,NA
2828,93150,68313,97457,NA,NA,NA
2829,80561,58809,NA,NA,NA,NA
2834,92235,19680,30103,NA,NA,NA
2835,18132,47912,NA,NA,NA,NA
2841,79081,85737,88597,NA,NA,NA
2850,86073,23214,NA,NA,NA,NA
2855,16630,78190,70838,NA,NA,NA
2864,69348,NA,NA,NA,NA,NA
2869,15482,NA,NA,NA,NA,NA
2877,93362,24855,NA,NA,NA,NA
2878,79536,46094,38401,63322,57500,63369
2879,60516,46913,NA,NA,NA,NA
2880,70447,78573,NA,NA,NA,NA
2883,35836,62245,22614,NA,NA,NA
2885,10471,33705,25146,NA,NA,NA
2886,57684,89411,15512,NA,NA,NA
2887,27051,NA,NA,NA,NA,NA
2889,76078,98204,NA,NA,NA,NA
2892,46251,44240,20836,NA,NA,NA
2894,48989,23696,20174,NA,NA,NA
2900,32959,24163,NA,NA,NA,NA
2902,14496,59268,NA,NA,NA,NA
2908,49447,85463,16611,NA,NA,NA
2909,57993,37210,NA,NA,NA,NA
2910,93048,24657,NA,NA,NA,NA
2911,91333,25911,61125,17504,NA,NA
2918,87151,56761,NA,NA,NA,NA
2919,70786,NA,NA,NA,NA,NA
2926,44321,62582,19972,82678,NA,NA
2928,51593,29897,NA,NA,NA,NA
2930,72442,NA,NA,NA,NA,NA
2934,81672,15873,76325,NA,NA,NA
2935,86544,39319,NA,NA,NA,NA
2936,12067,NA,NA,NA,NA,NA
2938,31663,NA,NA,NA,NA,NA
2943,48534,84519,62646,NA,NA,NA
2946,75904,63535,NA,NA,NA,NA
2948,50418,65355,61135,12236,NA,NA
2949,84672,78184,45985,40173,NA,NA
2952,31006,NA,NA,NA,NA,NA
2955,77347,56218,NA,NA,NA,NA
2959,39207,37009,58643,NA,NA,NA
2961,68541,13734,37184,NA,NA,NA
2964,13543,75196,NA,NA,NA,NA
2969,59099,NA,NA,NA,NA,NA
2970,70430,71095,29133,NA,NA,NA
2978,16243,50753,NA,NA,NA,NA
2979,39263,53340,55637,NA,NA,NA
2983,94854,30261,NA,NA,NA,NA
2990,15389,29149,NA,NA,NA,NA
2993,54608,71585,NA,NA,NA,NA
2995,68113,NA,NA,NA,NA,NA
3004,70008,64760,49731,78352,NA,NA
3007,57347,NA,NA,NA,NA,NA
3010,84625,NA,NA,NA,NA,NA
3011,69854,46346,NA,NA,NA,NA
3012,50278,NA,NA,NA,NA,NA
3013,15272,37198,13539,58208,NA,NA
3014,22379,NA,NA,NA,NA,NA
3020,31261,NA,NA,NA,NA,NA
3021,75023,72360,64588,31600,NA,NA
3023,23438,61572,NA,NA,NA,NA
3025,52779,85239,NA,NA,NA,NA
3027,18772,75162,96240,73408,NA,NA
3035,38478,81715,19582,96447,91000,NA
3036,51015,20619,NA,NA,NA,NA
3038,91686,91742,28907,NA,NA,NA
3041,35590,73640,30842,87578,NA,NA
3042,48484,NA,NA,NA,NA,NA
3043,95953,29290,NA,NA,NA,NA
3045,13761,10182,80214,70980,NA,NA
3046,42034,59303,40991,24907,69580,NA
3047,54640,42619,NA,NA,NA,NA
3048,34949,50337,NA,NA,NA,NA
3049,75160,55612,NA,NA,NA,NA
3051,82506,17001,92214,NA,NA,NA
3053,46254,NA,NA,NA,NA,NA
3054,42222,44903,16617,NA,NA,NA
3057,95219,22519,NA,NA,NA,NA
3058,34413,42257,97006,24676,83687,NA
3061,93025,NA,NA,NA,NA,NA
3066,71669,20042,NA,NA,NA,NA
3068,41339,52780,NA,NA,NA,NA
3069,19199,55575,NA,NA,NA,NA
3073,98760,86897,NA,NA,NA,NA
3074,21784,89543,52466,NA,NA,NA
3075,43494,NA,NA,NA,NA,NA
3078,29073,21411,NA,NA,NA,NA
3079,12977,NA,NA,NA,NA,NA
3080,29801,NA,NA,NA,NA,NA
3081,47751,NA,NA,NA,NA,NA
3085,99754,NA,NA,NA,NA,NA
3093,51036,61164,NA,NA,NA,NA
3095,10459,69048,NA,NA,NA,NA
3096,61382,70427,NA,NA,NA,NA
3098,34844,10883,NA,NA,NA,NA
3099,46665,41021,NA,NA,NA,NA
3101,94678,35713,49310,NA,NA,NA
3105,92632,66297,NA,NA,NA,NA
3106,59576,NA,NA,NA,NA,NA
3107,99212,32862,NA,NA,NA,NA
3108,68691,24606,15011,NA,NA,NA
3109,86510,NA,NA,NA,NA,NA
3111,46056,36819,NA,NA,NA,NA
3113,60008,82246,NA,NA,NA,NA
3115,80368,NA,NA,NA,NA,NA
3117,60194,45596,NA,NA,NA,NA
3118,28724,83311,NA,NA,NA,NA
3119,32238,NA,NA,NA,NA,NA
3120,52477,76582,NA,NA,NA,NA
3121,21768,10246,99316,NA,NA,NA
3122,53568,64585,NA,NA,NA,NA
3129,22779,37539,NA,NA,NA,NA
3130,79225,36000,NA,NA,NA,NA
3135,28103,62968,NA,NA,NA,NA
3145,13800,27940,NA,NA,NA,NA
3150,24948,56259,NA,NA,NA,NA
3151,59151,31952,65987,NA,NA,NA
3154,77786,70826,49764,80343,NA,NA
3155,12373,44751,70353,NA,NA,NA
3156,50773,63340,NA,NA,NA,NA
3162,52907,93151,NA,NA,NA,NA
3163,83606,91103,69084,NA,NA,NA
3164,88599,54133,NA,NA,NA,NA
3165,48583,19624,62616,NA,NA,NA
3176,55731,36994,NA,NA,NA,NA
3178,16581,96725,NA,NA,NA,NA
3179,94770,NA,NA,NA,NA,NA
3182,59633,29034,99968,NA,NA,NA
3188,14528,80486,NA,NA,NA,NA
3190,47857,47496,18034,59190,57736,91280
3197,56650,62656,NA,NA,NA,NA
3198,79989,78246,NA,NA,NA,NA
3201,22069,44088,69628,NA,NA,NA
3204,77841,76280,NA,NA,NA,NA
3206,77421,NA,NA,NA,NA,NA
3212,39620,NA,NA,NA,NA,NA
3217,16826,NA,NA,NA,NA,NA
3221,71694,21611,NA,NA,NA,NA
3222,95473,NA,NA,NA,NA,NA
3225,93799,54634,46190,23054,48927,NA
3233,98010,NA,NA,NA,NA,NA
3236,50754,NA,NA,NA,NA,NA
3237,31808,NA,NA,NA,NA,NA
3242,38010,69173,NA,NA,NA,NA
3243,75706,79701,13586,NA,NA,NA
3244,78237,17755,NA,NA,NA,NA
3245,68405,NA,NA,NA,NA,NA
3248,47000,59884,NA,NA,NA,NA
3250,59471,10070,49642,40681,NA,NA
3252,71575,68030,NA,NA,NA,NA
3253,86564,NA,NA,NA,NA,NA
3254,30241,30170,NA,NA,NA,NA
3259,32963,25270,65618,79546,NA,NA
3260,18771,35467,NA,NA,NA,NA
3268,94991,90924,16301,50332,56093,78072
3269,12008,NA,NA,NA,NA,NA
3273,33309,72530,26728,NA,NA,NA
3278,88204,NA,NA,NA,NA,NA
3280,74872,17181,30899,NA,NA,NA
3286,18331,27136,87750,NA,NA,NA
3287,28549,72393,70382,69221,NA,NA
3288,34839,10437,NA,NA,NA,NA
3291,99569,26841,NA,NA,NA,NA
3292,47098,NA,NA,NA,NA,NA
3293,76584,99885,NA,NA,NA,NA
3298,77799,NA,NA,NA,NA,NA
3299,52220,33163,NA,NA,NA,NA
3303,75217,63842,26152,NA,NA,NA
3304,50425,NA,NA,NA,NA,NA
3306,44204,93793,NA,NA,NA,NA
3309,31675,NA,NA,NA,NA,NA
3312,73375,NA,NA,NA,NA,NA
3315,70120,39453,44882,33844,14379,47618
3316,83359,18317,49450,49331,75786,NA
3317,19184,22210,64303,64437,69801,NA
3320,57498,85578,52028,NA,NA,NA
3321,97492,30112,NA,NA,NA,NA
3322,81361,NA,NA,NA,NA,NA
3325,78299,NA,NA,NA,NA,NA
3338,62034,NA,NA,NA,NA,NA
3339,28477,82142,63961,NA,NA,NA
