CASEID_1979,CPUBID1,CPUBID2,CPUBID3,CPUBID4,CPUBID5,CPUBID6
437,64315,75419,67605,NA,NA,NA
438,88496,NA,NA,NA,NA,NA
439,39927,41932,NA,NA,NA,NA
442,75759,58374,81395,NA,NA,NA
444,86865,94001,NA,NA,NA,NA
446,83528,28715,NA,NA,NA,NA
449,53125,86237,NA,NA,NA,NA
452,48200,83470,NA,NA,NA,NA
455,92295,65248,NA,NA,NA,NA
458,93965,NA,NA,NA,NA,NA
459,66855,90591,63508,NA,NA,NA
462,66816,NA,NA,NA,NA,NA
465,84790,NA,NA,NA,NA,NA
467,54303,81663,NA,NA,NA,NA
471,73438,19126,NA,NA,NA,NA
472,10857,NA,NA,NA,NA,NA
474,57713,55436,89134,NA,NA,NA
475,31563,NA,NA,NA,NA,NA
476,42040,95568,NA,NA,NA,NA
478,75591,64023,NA,NA,NA,NA
485,39408,99050,52613,NA,NA,NA
491,12290,96296,NA,NA,NA,NA
492,44439,48344,83031,NA,NA,NA
494,69847,54424,NA,NA,NA,NA
495,63614,68247,NA,NA,NA,NA
499,37724,NA,NA,NA,NA,NA
501,68835,11374,NA,NA,NA,NA
503,49816,60513,26708,NA,NA,NA
504,24374,79570,40882,NA,NA,NA
506,33228,NA,NA,NA,NA,NA
507,66351,32631,NA,NA,NA,NA
514,62718,70327,34044,NA,NA,NA
515,24286,30110,NA,NA,NA,NA
519,54114,NA,NA,NA,NA,NA
522,15270,67214,NA,NA,NA,NA
525,99718,67515,NA,NA,NA,NA
528,80746,55130,NA,NA,NA,NA
529,75411,54337,93311,NA,NA,NA
530,85119,52095,42048,NA,NA,NA
532,36392,42533,NA,NA,NA,NA
533,27874,NA,NA,NA,NA,NA
536,44630,79985,NA,NA,NA,NA
542,92482,68663,NA,NA,NA,NA
544,93247,NA,NA,NA,NA,NA
546,84591,69067,NA,NA,NA,NA
548,46825,67584,76852,44575,NA,NA
550,72824,69794,NA,NA,NA,NA
552,98053,36197,NA,NA,NA,NA
557,45838,34261,84969,79189,NA,NA
558,20638,72357,28922,NA,NA,NA
563,17158,97725,75047,NA,NA,NA
567,29269,22918,NA,NA,NA,NA
568,25373,NA,NA,NA,NA,NA
572,48595,NA,NA,NA,NA,NA
574,17657,NA,NA,NA,NA,NA
576,19521,58412,45284,94550,NA,NA
579,21341,78057,NA,NA,NA,NA
582,90492,NA,NA,NA,NA,NA
585,47771,68252,27254,26665,57863,NA
588,29245,15809,47194,73258,NA,NA
589,50171,62965,NA,NA,NA,NA
590,56732,15004,79008,47530,NA,NA
593,31571,78742,NA,NA,NA,NA
604,27690,78010,82819,42972,NA,NA
608,52433,58142,10029,NA,NA,NA
611,14533,54431,NA,NA,NA,NA
614,72091,60750,NA,NA,NA,NA
615,46047,27778,NA,NA,NA,NA
618,32287,50635,70201,NA,NA,NA
619,17579,74374,61233,62577,69283,37109
621,58678,36669,12003,NA,NA,NA
622,74932,80892,72411,NA,NA,NA
623,67943,28769,NA,NA,NA,NA
627,46408,88405,81407,17983,NA,NA
632,94087,76593,84173,NA,NA,NA
634,97607,41284,98030,NA,NA,NA
635,65738,36652,NA,NA,NA,NA
640,47963,87557,NA,NA,NA,NA
642,95036,36732,NA,NA,NA,NA
643,35506,NA,NA,NA,NA,NA
648,91037,NA,NA,NA,NA,NA
650,13342,10275,NA,NA,NA,NA
654,82477,NA,NA,NA,NA,NA
656,11037,19622,NA,NA,NA,NA
657,91408,50464,NA,NA,NA,NA
660,35305,38645,47561,NA,NA,NA
662,83927,82088,NA,NA,NA,NA
664,94220,52307,NA,NA,NA,NA
665,65696,44830,NA,NA,NA,NA
668,88628,29729,12218,94269,80968,NA
677,18534,11641,97336,34495,NA,NA
688,88499,76864,NA,NA,NA,NA
689,21378,66475,28298,NA,NA,NA
691,26820,91020,98988,NA,NA,NA
692,46521,40023,NA,NA,NA,NA
694,89941,77126,60151,62751,NA,NA
696,40330,NA,NA,NA,NA,NA
698,51274,16974,NA,NA,NA,NA
703,71603,69744,11314,NA,NA,NA
704,55833,83456,NA,NA,NA,NA
706,66751,67262,65605,34117,94397,NA
708,38952,NA,NA,NA,NA,NA
712,29436,53891,NA,NA,NA,NA
713,40268,39369,NA,NA,NA,NA
720,15447,37967,NA,NA,NA,NA
721,79037,30056,NA,NA,NA,NA
724,62270,89234,NA,NA,NA,NA
726,83038,48383,99280,NA,NA,NA
733,79680,84473,87313,80090,NA,NA
736,11672,57860,NA,NA,NA,NA
739,99972,63878,36873,NA,NA,NA
740,45950,NA,NA,NA,NA,NA
743,65890,88865,NA,NA,NA,NA
744,40135,95859,NA,NA,NA,NA
746,65871,86840,NA,NA,NA,NA
752,43618,37722,NA,NA,NA,NA
755,47819,12031,48327,NA,NA,NA
756,82415,80605,26103,93493,66356,NA
757,35723,32676,NA,NA,NA,NA
758,45399,NA,NA,NA,NA,NA
759,27166,93824,68987,15379,NA,NA
761,55066,21146,46518,NA,NA,NA
764,42033,59858,79074,72162,24231,NA
768,46524,84198,22289,48761,NA,NA
770,47919,71762,NA,NA,NA,NA
775,14263,16987,41323,NA,NA,NA
779,70519,NA,NA,NA,NA,NA
783,40690,NA,NA,NA,NA,NA
785,51359,NA,NA,NA,NA,NA
787,24439,NA,NA,NA,NA,NA
788,56493,NA,NA,NA,NA,NA
789,58665,NA,NA,NA,NA,NA
790,53513,NA,NA,NA,NA,NA
792,21990,29378,30730,35631,NA,NA
