CPUBID,CSEX,CMOB,CYRB
61949,2,8,1991
43020,1,3,1994
50205,2,12,1986
73347,1,5,1989
77329,2,8,1990
34694,1,6,1981
67450,2,6,1983
96153,2,7,1980
86091,2,2,1983
45897,1,7,1984
78031,2,8,1983
82494,1,11,1985
26986,2,9,1986
67355,2,4,1976
41676,2,4,1983
89305,1,2,1986
94328,2,4,1987
35582,1,8,1997
33764,2,1,1987
47188,1,5,1990
75306,1,8,1997
83526,2,8,1983
20404,2,10,1987
91319,1,5,1979
24469,2,12,1989
24725,2,10,1991
69061,2,6,1999
44319,2,7,1982
40603,2,9,1985
14955,2,7,1992
74364,2,12,1984
64732,2,8,1986
23379,2,1,1976
45971,1,10,1982
24709,1,8,1991
18553,1,1,1998
55596,2,10,1984
19284,2,3,1990
66859,1,3,1982
86276,2,2,1988
46055,1,2,1981
14179,2,10,1985
92778,1,4,1993
14099,1,10,1991
39519,1,3,1993
55746,2,2,1995
11466,2,6,1994
46037,1,8,1996
86376,2,7,1986
61268,2,5,1989
44814,1,4,1984
54378,2,10,1986
74198,1,2,1989
98907,2,3,1992
91403,1,5,1988
61188,1,1,1995
93925,2,11,1997
73247,2,1,1976
14045,1,10,1978
26852,1,11,1981
91419,1,11,1991
68533,2,6,1995
47715,1,6,1980
69558,2,8,1982
47930,1,4,1984
94393,1,6,1987
44207,1,3,1989
58444,2,3,1990
64315,1,2,1981
75419,1,2,1984
67605,1,5,1987
88496,2,6,1987
39927,2,7,1994
41932,1,7,1996
75759,2,9,1975
58374,1,2,1979
81395,1,11,1982
86865,2,3,1990
94001,2,5,1993
83528,2,2,1981
28715,1,7,1984
53125,2,10,1996
86237,2,4,2002
48200,1,4,1994
83470,1,11,1997
92295,2,9,1989
65248,2,3,1992
93965,2,8,1993
66855,1,2,1991
90591,1,11,1992
63508,1,5,1995
66816,1,4,1995
84790,1,5,1984
54303,2,4,1985
81663,1,2,1990
73438,1,10,1979
19126,2,11,1981
10857,1,1,1998
57713,1,9,1989
55436,1,4,1991
89134,2,11,1997
31563,2,12,1993
42040,2,9,1990
95568,1,11,1992
75591,1,11,1975
64023,2,6,1978
39408,1,2,1980
99050,1,1,1990
52613,1,11,1991
12290,1,1,1974
96296,2,3,1979
44439,1,6,1989
48344,1,8,1991
83031,2,7,1994
69847,2,9,1985
54424,1,7,1988
63614,1,5,1986
68247,2,6,1988
37724,2,3,1981
68835,1,11,1999
11374,1,6,2001
49816,2,1,1981
60513,2,4,1986
26708,2,8,1989
24374,2,5,1981
79570,2,5,1989
40882,2,8,1996
33228,2,5,1992
66351,1,4,1985
32631,2,7,1987
62718,2,7,1986
70327,1,6,1990
34044,2,1,1992
24286,1,4,1987
30110,1,9,1988
54114,2,3,1989
15270,1,6,1978
67214,2,4,2000
99718,2,8,1994
67515,2,11,1998
80746,1,5,1981
55130,2,1,1985
75411,1,8,1982
54337,1,6,1984
93311,1,9,1985
85119,1,5,1974
52095,1,9,1975
42048,2,12,1977
36392,2,7,1975
42533,2,7,1977
27874,2,4,1993
44630,2,12,1985
79985,1,11,1990
92482,1,7,1983
68663,2,2,1987
93247,2,4,1989
84591,2,9,1981
69067,1,11,1989
46825,2,12,1982
67584,1,4,1986
76852,2,11,1990
44575,1,12,1997
72824,2,7,1980
69794,2,4,1983
98053,1,2,1985
36197,2,10,1987
45838,1,3,1988
34261,2,2,1990
84969,1,12,1991
79189,1,2,1994
20638,2,3,1991
72357,2,12,1992
28922,2,4,1995
17158,2,12,1979
97725,2,2,1982
75047,2,9,1991
29269,2,8,1993
22918,1,4,1995
25373,2,5,1991
48595,2,7,1986
17657,2,9,1988
19521,2,10,1990
