CPUBID,CSEX,CMOB,CYRB
26777,1,4,1979
99741,1,7,1981
96414,2,6,1984
74491,1,12,1985
79987,1,6,1987
35957,1,2,1976
67607,2,9,1978
10504,2,10,1979
27176,1,9,1981
55847,1,10,1980
91308,1,10,1984
18332,1,2,1987
45526,2,3,1990
42831,2,9,1983
75505,2,9,1980
43030,2,1,1983
95901,1,7,1981
18152,1,9,1986
59532,2,8,1980
24685,1,6,1984
75473,1,10,1985
43159,2,10,1977
90356,2,10,1981
32155,1,7,1989
56121,2,3,1993
35156,2,6,1983
65034,1,11,1986
88484,1,8,1990
71309,2,9,1992
13319,2,4,1996
35001,2,4,2001
61876,1,4,1985
55733,1,11,1992
82294,1,6,1989
25167,1,8,1992
44938,1,3,1976
58293,2,3,1988
16375,2,7,1989
65661,1,2,1978
65198,2,12,1983
22460,1,7,1986
96272,2,11,1989
50884,1,1,1980
21086,1,9,1981
11297,1,9,1983
27481,1,8,1976
55469,1,4,1981
17788,1,7,1982
13550,2,4,1984
76015,1,8,1992
89534,1,8,1981
75482,2,1,1982
39785,1,7,1990
77123,2,8,1996
21872,1,8,1997
79235,2,9,1983
42112,1,8,1989
64534,1,12,1981
24310,1,1,1986
84083,1,1,1985
38861,2,5,1992
31326,2,12,1983
65312,1,3,1986
99284,2,10,2003
84442,1,8,1983
65841,1,11,1985
61241,2,2,1979
41510,1,5,1981
47703,1,7,1991
33345,2,9,1981
94989,1,12,1983
88818,2,2,1986
35863,1,2,1978
79559,2,8,1983
68602,1,11,1982
91874,2,2,1984
36323,1,11,1986
32933,1,9,1988
97574,1,6,1980
29895,2,12,1981
38960,1,5,1977
31073,2,3,1988
85930,2,4,1983
48486,1,2,1977
83862,2,1,1979
81283,2,1,1982
43224,2,4,1998
58795,2,10,2001
63419,2,2,1980
51176,1,5,1981
89614,1,12,1982
56475,2,4,1985
25300,2,9,1987
98566,1,11,1982
41374,2,10,1988
63443,2,6,1992
23715,1,4,1983
27796,2,12,1995
19451,2,5,1977
67380,1,9,1979
41722,2,2,1984
76052,1,9,1987
89398,1,1,1986
86362,2,4,1990
28442,2,6,1985
66869,1,2,1998
15039,2,9,1984
30838,2,11,1986
38717,2,9,1978
78043,2,3,1980
64017,2,4,1981
97820,1,1,1984
41275,2,2,1986
78796,1,2,1986
16947,1,2,1992
76167,1,12,1995
41781,2,9,1981
52254,1,6,1973
38612,1,8,1977
32262,1,4,1980
77264,2,2,1981
59753,1,5,1983
57706,2,5,1988
22621,2,11,1991
97063,1,6,1994
37352,1,12,1975
73051,1,2,1976
89259,1,11,1980
34524,2,3,1977
21067,2,9,1979
86814,2,2,1979
69477,1,6,1982
77390,2,2,1982
68749,1,2,1984
75734,1,5,1986
67408,1,3,1986
42573,2,3,1996
32972,1,7,1998
18447,1,5,1984
59444,1,7,1988
21776,2,10,1991
92422,1,3,1980
74662,1,1,1982
29275,2,5,1987
49802,1,12,1989
92597,1,5,1989
26203,1,8,1991
31453,2,11,1994
73653,2,2,1997
54935,2,5,1984
31905,1,4,1988
18927,2,5,1982
98551,1,11,1985
43531,2,10,1993
40981,1,2,1979
25947,1,2,1996
17976,2,4,1997
77788,1,12,1983
41461,1,5,1995
61041,2,7,2001
89921,1,5,2003
62347,2,9,1982
12697,2,11,1984
22473,1,4,1992
41716,2,7,1995
38903,2,11,1997
27079,2,12,2001
58857,2,10,1985
15499,1,2,1986
53276,2,6,1988
20335,2,2,1985
75000,1,8,1991
89188,1,1,1991
52511,1,10,1994
79817,2,8,1994
10587,1,11,1999
49042,2,8,1985
99002,1,9,1981
87948,2,10,2000
10633,2,8,1986
25807,2,3,1988
97794,2,11,1989
31017,2,11,1984
25909,1,11,1984
22126,1,10,1981
26112,2,12,1989
81832,2,11,2000
65743,1,4,2003
81048,1,11,1991
21450,1,3,1994
16746,1,9,1996
66791,2,5,1999
80672,1,6,1987
22262,1,5,1990
27433,1,12,1982
77096,2,6,2001
75435,2,11,1984
96632,2,8,1990
86576,1,8,1995
38432,1,1,1977
43800,2,10,1978
97563,1,8,1984
41594,1,8,1985
14015,2,11,1993
17524,1,11,1995
86472,1,7,1987
85856,2,10,1995
85128,2,5,1981
67383,1,7,1982
29635,2,2,1987
29175,2,1,1989
43529,2,12,1995
82193,1,12,1985
11698,1,1,1987
18287,1,1,1989
15036,2,1,2004
62492,1,2,1993
49616,1,4,1986
21570,1,10,1990
89624,1,4,1987
33662,2,5,1981
89771,2,7,1985
47359,1,3,1988
40614,1,4,1992
82668,2,4,1987
18995,1,7,1990
11091,1,5,1992
20816,2,10,1987
98049,1,10,1994
60767,1,10,1985
62707,2,11,1987
80149,1,12,1993
80539,2,6,2001
41095,1,3,2005
59295,1,10,1975
27445,1,12,1977
97999,1,1,1984
39857,2,3,1990
20623,2,2,1985
28908,1,7,1986
35621,2,12,1987
21136,1,5,1993
11965,2,8,1986
37911,1,9,1989
94095,2,4,1987
89682,2,6,1990
22040,2,5,1995
98483,2,3,1995
26076,1,11,1997
27307,2,5,2003
45278,1,6,1995
91782,2,9,1998
37806,1,8,2001
50751,2,12,1991
54891,2,12,1998
36867,2,1,2000
49960,1,4,1980
46120,1,9,1984
44992,2,2,1980
37543,1,2,1982
22449,2,8,1983
31389,1,12,1985
28034,2,5,1979
33953,2,11,1983
60576,2,4,1985
96531,2,5,1986
20187,2,8,1990
48256,1,10,1994
97402,2,11,1977
62764,2,12,1982
12087,2,2,1994
13470,2,4,1996
36613,1,6,1976
81301,2,3,1980
14580,1,12,1997
97098,1,6,1982
28671,1,4,1991
21807,1,12,1983
96969,1,3,1987
32707,2,5,1983
27528,1,11,1985
88116,2,5,1982
42564,1,4,1988
98910,2,8,1990
92167,1,8,1993
73398,2,8,1979
98057,1,1,1983
73816,2,8,1980
97782,2,11,1982
14081,1,10,1988
27585,1,11,1982
11845,2,7,1984
42882,1,11,1986
43903,1,5,1992
21032,2,9,1980
41378,2,12,1981
17715,2,12,1989
48257,1,7,1985
24724,2,5,1990
85800,2,6,1976
90956,1,4,1979
91529,1,2,1980
15111,2,7,2006
89220,1,7,2010
99694,2,7,2010
70105,1,5,1978
56704,2,9,1992
26479,1,9,1995
21415,1,3,1986
80829,1,10,1990
14931,1,5,1994
72420,1,3,1982
30425,1,10,1986
55296,2,11,1980
67109,1,1,1997
26718,2,7,1979
92788,1,5,1984
68737,1,10,1978
84142,1,10,1980
75705,1,6,1984
18467,1,8,1993
49975,2,7,1978
22972,1,4,1986
10520,1,4,1975
22164,2,12,1976
54705,1,7,1974
42468,2,6,1975
19145,2,10,1976
66222,1,6,1978
45937,2,5,1981
21867,1,3,1984
52202,1,8,1982
47609,1,10,1977
21716,1,12,1980
89911,1,11,1990
33509,2,1,1998
54479,2,12,1982
22052,2,4,1984
34702,2,5,1985
23352,1,9,1989
59543,1,5,1997
93347,2,2,1975
86355,1,6,1977
97988,2,12,1983
48352,1,3,1982
87816,2,5,1985
21476,2,8,1989
11214,2,5,1982
37244,1,9,1985
35013,2,12,1987
26893,2,3,1985
59057,1,5,1987
83635,1,10,1978
66781,2,1,1994
89315,2,9,1981
76766,2,4,1983
87567,1,12,1984
67171,2,8,1986
93656,2,1,1988
79554,2,7,1989
49302,2,2,1980
96924,1,4,1985
63196,1,10,1987
79964,2,11,1997
98357,2,11,2001
22825,1,10,1989
30190,1,10,1985
49907,1,9,1987
34561,1,11,1992
22523,2,9,1997
50069,1,1,1983
45168,2,11,1983
25296,1,7,1987
57488,1,10,1979
58975,2,6,1980
20196,1,8,1981
63943,1,9,1983
85025,2,4,1989
17969,2,3,1987
58366,1,9,1990
20206,2,4,1995
71314,2,8,1984
82854,2,10,1987
36525,2,10,1980
96534,2,6,1982
51016,2,2,1984
44345,2,2,1977
92705,2,12,1978
11053,1,3,1983
41902,1,5,1978
58258,1,3,1983
24663,1,11,1989
10869,2,6,1988
99713,1,3,1992
75336,2,7,1992
13970,1,2,1997
18961,2,6,1994
43141,2,6,1994
87572,2,5,1992
70825,1,11,1988
30314,1,3,1992
45694,1,12,1980
72873,1,6,1983
13669,1,3,1980
88201,2,2,1982
55141,1,10,1987
34977,2,9,1993
45236,2,10,1997
71852,1,5,1980
75391,1,11,1985
66737,1,7,1987
89331,2,9,1993
56058,1,8,1995
36824,2,7,1998
15681,2,7,1998
68303,2,3,1999
26355,1,1,2001
22767,2,1,2001
36389,2,1,2001
81483,1,6,1979
59330,2,12,1988
92969,1,10,1994
48116,1,6,2001
47799,2,12,1985
41742,2,2,1989
30651,2,1,1986
32049,2,10,1989
24867,1,1,1984
94754,1,5,1986
26050,2,12,1990
46458,1,1,1993
17938,1,1,1975
24216,1,6,1979
93511,1,12,1982
58346,2,10,1999
17251,1,2,1991
66852,1,5,1994
40212,2,6,1995
77129,1,5,1985
50119,2,3,1991
65874,2,7,1988
66965,1,2,1991
18667,2,10,1993
19372,1,10,1995
85810,2,2,1989
81136,1,2,1989
31823,2,12,1992
29498,1,8,1987
20872,2,6,1989
21933,2,10,1993
30905,2,11,1986
75426,2,12,1979
29267,2,10,1997
69771,2,4,1995
77334,1,9,1997
39474,1,8,1993
71832,1,12,2002
31554,2,4,1985
23078,2,8,1987
89101,1,1,1996
44262,2,6,1987
43139,2,4,1997
69730,1,9,1980
80601,2,9,1984
66463,1,4,1979
87174,2,7,1981
94458,1,8,1991
37292,2,6,1984
18121,1,3,1988
49727,1,10,1984
85503,1,5,1986
62398,2,1,1989
50977,1,12,1994
25190,1,6,1981
99140,2,2,1983
91842,1,4,1978
95932,1,2,1985
13032,2,4,1992
13380,1,8,1979
91787,2,3,1983
14351,2,11,1999
65485,2,4,2003
63116,1,12,1980
68689,2,9,1982
50649,2,10,1990
28059,2,5,1993
14876,1,9,1977
30561,2,12,1981
37490,1,11,1982
78156,1,3,1984
13432,2,1,1987
44273,1,11,1991
28761,1,11,1988
31973,1,1,1996
74277,1,4,1983
55488,1,10,1985
40560,2,3,1989
69865,1,1,1993
87275,1,5,1996
82045,1,5,1982
81456,1,7,1985
77992,1,7,1985
94960,1,11,1982
70950,1,7,1987
78786,1,11,1989
91350,1,2,1993
96281,1,8,1977
77548,2,8,1982
71891,1,7,1986
57470,1,6,1980
32477,1,12,1981
65290,1,7,1999
33041,1,1,1990
43669,2,7,1975
60729,2,4,1988
28913,2,1,1991
69062,1,6,1993
46714,1,5,2001
50311,2,2,1992
74436,2,7,1997
83464,2,11,1992
59211,1,11,1980
59848,1,8,1983
97759,2,1,1977
50090,1,4,1984
55047,1,9,1983
98035,2,9,1978
30791,2,3,1980
47096,2,11,1988
23490,1,9,1990
68201,1,6,1984
20512,1,3,1986
23000,2,8,1987
86220,2,9,1992
92775,1,11,1993
47884,2,11,1984
33654,1,3,1988
23679,1,7,1981
89425,2,3,1983
45910,2,9,1982
97976,1,1,1986
92356,2,11,1988
48038,2,2,1990
77595,2,2,1988
76305,2,1,2002
96236,2,5,1985
67361,2,5,1988
62421,1,12,1991
57971,2,7,1996
33114,1,7,1996
16324,1,4,1986
27692,2,10,1989
33426,2,12,1989
23816,1,2,1994
84800,2,2,1982
45285,2,9,1984
96712,2,2,1995
69039,1,5,1979
70675,1,8,1981
31801,2,10,1982
47786,2,9,1973
60586,1,9,1974
19679,1,9,1975
97158,1,1,1986
44897,1,8,1983
19482,1,7,1991
79549,1,8,1985
12065,1,6,1988
72117,2,8,1990
68339,1,7,1989
12859,2,9,1991
22806,1,6,1975
45560,1,6,1977
94294,1,10,1978
61782,2,8,1984
45920,2,4,1988
41710,2,9,1989
25650,1,8,1991
33711,2,1,1998
61897,2,4,2000
34025,1,1,2003
42026,2,7,1975
38543,2,2,1977
75808,2,9,1979
11039,2,7,1982
21579,1,4,1987
36318,1,6,1983
98034,2,1,1985
24037,1,2,1987
45341,2,11,1991
53811,1,2,1980
97883,2,4,1982
40808,2,12,1974
35202,1,6,1985
10747,1,12,1989
68322,2,10,1992
83127,1,10,1977
48722,2,3,1980
60794,1,3,1989
45767,1,6,1976
48065,1,1,1978
20879,2,10,1981
68119,1,6,1983
17291,2,11,1984
52808,2,2,1978
33083,2,1,1980
45396,2,5,1989
89111,1,7,1992
48292,1,2,1995
13596,1,6,1982
72829,1,12,1985
56089,1,1,1995
80358,2,7,1985
10704,1,6,1988
35205,2,9,1980
96528,1,3,1984
11461,2,4,1999
77467,1,1,1980
88206,2,6,1984
60183,1,3,1985
98410,2,3,1988
72823,1,9,1980
19383,1,6,1983
37979,2,7,1982
36500,1,4,1985
65832,1,3,2000
31361,2,6,1985
74078,1,9,1986
57743,2,12,1988
51252,1,11,1990
83758,2,3,1999
27402,2,5,1982
47825,2,4,1984
84607,2,7,2001
58532,1,6,1984
76797,2,5,1987
81485,2,5,1987
41158,2,2,1992
10528,1,1,1986
76977,1,11,1988
39623,1,12,1995
39023,2,11,1998
93457,2,3,1996
83394,2,10,1975
75835,2,2,1981
76967,2,11,1976
28184,1,3,1981
44324,1,3,1993
20844,2,11,1991
20714,1,3,1994
49234,1,10,1980
91857,1,1,1992
79456,1,4,1998
33908,1,4,1998
53367,2,12,1976
88724,2,12,1984
14367,2,3,1996
16839,2,4,1980
87483,2,5,1982
60425,2,8,1984
47900,2,2,1988
23620,1,9,1990
79362,2,3,1990
32369,1,4,1994
44655,1,6,1982
91828,2,3,1984
25233,2,11,1989
29472,NA,NA,NA
32015,NA,NA,NA
79117,2,8,1975
75975,1,8,1977
39627,2,5,1996
64686,1,2,2000
77281,1,2,1989
12043,1,8,1990
60859,1,5,1993
84045,2,3,1978
23730,2,7,1981
28912,1,11,1982
15200,NA,NA,NA
82278,NA,NA,NA
56587,1,10,1996
14259,1,9,1984
98746,2,8,1986
67000,1,7,1988
41701,2,6,1984
56503,1,7,1986
66218,1,2,1992
53066,2,1,1983
12904,1,12,1991
88925,2,8,1982
89719,1,1,1988
71909,1,8,1998
41238,1,11,2000
12571,1,9,1977
30942,1,3,1985
39506,2,5,1997
43390,2,7,1976
78035,2,5,1987
17958,2,3,1996
22113,1,10,1992
83605,1,12,1994
89187,1,4,1997
26034,1,10,1992
95173,1,12,2001
76165,2,10,1986
86866,2,3,1988
32975,1,2,1991
96116,2,4,2000
78488,1,9,1987
51884,1,11,1989
63530,1,2,1995
27945,1,4,1980
11209,2,4,1983
36534,2,5,1987
15949,2,11,1984
87637,1,2,1986
63112,2,12,1990
73709,1,6,1992
21463,2,3,2001
57642,2,9,1983
16749,1,1,1992
20785,1,6,1978
28160,1,10,1979
51261,1,2,1985
96851,2,5,1979
12714,1,7,1982
77045,1,9,1996
29355,1,11,1978
36562,1,6,1981
38889,1,6,1981
72606,1,9,1983
32892,2,9,1980
62007,1,1,1983
26183,2,6,1988
83899,2,7,1989
50671,1,10,1972
56901,2,5,1974
57934,1,11,1975
66730,2,6,1977
58936,1,6,1978
34717,2,3,1978
76730,1,10,1983
43852,2,11,1988
91990,1,3,1976
59618,1,8,1977
65313,1,12,1978
13935,1,5,1980
95569,1,8,1981
13530,2,1,1983
47611,2,5,1979
22263,1,6,1988
60260,1,1,1990
29560,2,1,1989
13129,1,7,1993
58550,1,4,1979
47861,1,4,1988
24934,1,6,1985
76907,2,12,1990
29258,2,9,1984
59935,1,9,1989
74823,2,5,1984
98687,1,7,1985
48319,1,6,1998
35658,1,10,1977
66056,1,7,1979
48647,1,10,1984
68467,1,6,1984
46122,2,2,1993
50174,2,9,2004
30613,2,8,1992
20510,2,8,1994
49635,1,11,1996
83789,1,4,1997
28132,1,1,1999
69549,1,9,1989
45027,2,6,1990
74080,1,2,1994
69750,1,4,1994
39706,2,7,1996
35920,2,2,2000
76298,2,1,1989
64535,1,7,1994
52234,1,8,1995
40394,1,4,2001
28420,2,11,1985
79743,1,4,1987
42476,1,4,1987
53928,2,6,1985
91987,2,7,1987
43854,2,8,1979
78700,1,12,1986
22936,1,8,1976
49113,1,3,1981
44237,1,6,1987
30756,2,3,1980
56586,2,1,1991
72805,1,7,1978
21671,2,5,1982
92524,1,2,1986
44073,1,12,1987
79998,2,11,1995
25854,2,3,1978
64239,1,1,1984
79136,1,5,1985
72060,1,3,1989
63089,1,2,1993
41471,1,10,2006
90283,1,4,1997
61000,1,4,1989
62760,2,10,1994
86021,2,10,1994
40485,1,2,1979
47555,1,10,1981
58044,1,10,1990
94186,1,10,1980
45967,1,9,1984
80636,1,4,1979
73039,1,10,1980
71761,1,6,1988
80108,2,7,1976
15456,2,3,1982
61544,1,10,1985
31922,1,9,1986
87243,1,9,1977
39262,2,10,1981
89432,2,7,1983
15606,1,8,1984
25149,2,8,1987
37759,2,3,1979
50287,1,9,1983
39550,2,3,1980
74173,1,2,1988
98939,1,4,1991
46986,1,4,1980
72032,1,9,1985
29228,1,10,1989
43436,1,8,1994
27754,2,8,1994
22722,1,7,1977
65959,1,7,1986
97282,1,6,1991
15543,1,8,1992
56414,2,2,1987
38756,2,2,1983
88430,2,1,1988
32722,2,8,1990
24820,2,7,1983
13239,2,8,1986
73127,1,2,1980
94927,2,1,1982
32721,1,1,1988
49546,2,11,1989
89513,1,11,1992
47733,2,9,1981
10807,1,9,1982
18028,2,9,1984
17241,1,9,1986
83160,2,12,1977
97523,1,6,1983
38042,2,10,1990
92661,2,6,1995
27762,1,5,1979
30868,2,7,1989
96742,2,11,1996
43835,2,7,1991
49470,1,8,1992
43714,NA,NA,NA
79178,NA,NA,NA
15960,NA,NA,NA
77495,NA,NA,NA
60557,1,6,1988
52864,1,6,1992
72515,1,5,1996
48834,1,6,1999
71810,1,4,1981
67661,2,2,1980
70731,1,1,1985
57554,2,12,1980
52600,2,11,1985
50965,1,6,1987
24346,2,5,1994
77134,2,7,1983
96105,1,12,1986
19647,1,9,1986
32080,2,4,1991
60435,2,5,1990
54074,2,3,1995
73373,1,5,1986
51646,2,1,1988
34837,2,11,1993
37991,2,9,1998
11830,2,6,1986
93989,1,9,1988
85099,1,3,1991
79356,1,4,1993
44266,2,1,1985
26811,2,10,1984
53491,1,11,1993
76273,2,3,1992
84146,1,4,1988
79247,1,12,1973
69924,1,12,1976
44158,1,12,1990
85368,1,3,2002
31593,1,2,1976
59780,2,6,1979
85096,1,12,1988
88393,1,11,1981
16680,2,2,1986
14276,1,5,1991
36423,1,7,1982
52223,2,6,1984
69179,2,6,1986
89469,1,9,1985
55751,1,12,1992
62995,1,6,1993
49423,1,7,1994
52549,1,7,1994
51683,1,1,1999
55697,2,6,1978
52405,2,3,1980
18070,2,1,1981
18723,1,4,1983
36576,2,6,1977
22065,2,9,1978
32936,2,11,1978
24225,1,3,1980
83562,1,7,1988
99302,1,9,1990
73621,2,11,1986
29537,2,7,1977
88095,2,6,1979
65111,1,4,1981
77727,2,12,1982
98089,1,10,1988
61933,2,3,1985
79159,2,8,1986
69051,1,9,1985
70817,1,8,1976
41282,1,11,1981
87196,1,1,1984
11175,2,8,1986
73108,2,2,1982
60386,2,2,1985
75616,2,6,1976
92034,1,4,1977
18778,1,3,1983
97857,1,4,1987
23389,1,10,1981
30720,2,3,1994
65901,1,8,1984
74904,2,7,1996
32348,2,9,1997
71253,2,11,2002
11778,1,1,1983
37234,2,7,1975
19316,1,12,1977
61938,1,11,1979
40502,2,11,1981
27287,2,4,1988
87633,1,4,1990
47173,2,11,1992
30922,2,7,1995
62383,1,5,1999
13056,1,8,1977
18261,1,11,1979
70781,1,10,1982
41286,1,5,1982
93477,2,9,1985
21665,1,5,1999
10822,2,3,1976
11871,1,2,1985
75186,2,11,1984
87983,2,9,1988
25806,2,2,1990
32628,2,8,1994
28109,1,6,1998
69432,1,12,1994
19903,1,12,1983
44754,2,12,1988
97082,1,3,1986
17301,1,5,1988
91564,2,7,1992
32513,1,1,1979
35026,1,10,1987
51158,2,6,1992
30138,2,10,1977
91974,2,8,1980
56447,1,6,1983
93994,1,2,1975
46707,2,4,1977
22173,1,10,1979
74812,1,7,1977
83947,2,3,1985
18901,1,10,1987
19572,1,8,1991
65393,1,9,1990
21099,2,12,1996
14984,2,3,1981
63159,2,2,1988
15718,2,4,1989
73439,1,10,1990
53591,2,7,1992
48039,1,7,1977
72383,1,6,1978
17044,2,9,1979
61838,2,3,1981
15954,2,2,1986
65321,1,7,1988
42076,2,7,1993
52672,1,6,1986
52253,1,10,1991
29164,2,12,1985
82460,1,4,1989
75539,2,5,1986
53784,2,1,1990
58717,1,12,1996
70385,2,3,1989
96677,1,10,1989
54434,1,7,1995
90073,2,5,1985
73070,2,9,1995
26928,2,3,1997
21532,2,4,2000
72486,1,10,1981
71076,1,7,1983
10672,2,7,1986
10578,1,9,1983
48312,2,9,1985
13046,1,1,1987
63532,2,2,1983
90285,2,5,1984
17027,2,1,1987
69823,2,3,1988
19188,2,8,1987
69925,1,5,1989
22034,1,6,1992
39614,2,4,1986
56627,1,10,1992
76396,2,10,1984
32017,2,6,1986
13145,2,6,2001
43920,1,11,1982
42521,2,7,1987
94188,2,3,1983
74484,1,8,1981
60423,2,9,1982
14409,2,9,1988
24063,1,10,2000
77919,1,7,1989
14315,1,6,1981
97499,2,10,1981
76780,1,8,1977
98602,1,11,1982
50824,2,4,1984
70312,1,1,1986
68667,2,9,1985
42977,1,6,1987
54574,2,5,1989
54938,1,7,1989
49487,2,9,1991
52301,2,3,1989
97604,2,8,1985
46554,1,6,1988
34609,1,9,1989
40512,1,10,1998
81102,2,11,1980
89967,1,9,1994
54105,2,4,1997
63394,1,2,1996
88794,2,5,2000
95546,1,9,1977
49110,1,3,1984
82334,1,8,1997
57536,2,6,1986
75744,1,8,1976
93277,1,11,1979
67350,2,2,1980
15679,2,4,1985
99096,1,3,1986
23247,2,10,1986
52524,2,7,1993
89651,1,6,1981
69641,2,6,1998
86770,1,11,1999
10490,1,4,1988
40362,1,8,1992
98895,2,9,1984
50954,2,10,1986
59956,2,7,1992
24953,1,9,1988
25653,1,12,1989
17708,2,11,1990
53774,1,3,1992
70553,2,4,1993
45980,2,1,1996
10995,1,3,1982
46834,2,7,1988
55368,1,12,1981
66815,2,9,1983
34685,1,9,1985
32236,2,10,1980
46931,2,6,1982
62275,2,11,1983
29404,1,6,1987
30203,2,8,1991
96229,1,7,1994
86392,1,9,1977
95806,1,6,1986
80038,2,2,1991
72667,2,10,1981
19239,1,2,1987
62111,2,4,1979
40263,2,3,1984
87066,1,12,1980
26351,1,5,1983
61334,1,2,1993
74312,2,4,1996
17947,2,10,1986
90460,1,7,1990
80961,1,5,1980
72431,1,8,1981
99514,1,7,1985
96982,1,6,1987
51057,1,7,1988
76030,2,11,1991
27654,2,12,1990
75404,1,3,1992
84377,1,8,1985
85916,2,4,1992
12072,1,6,1996
90794,1,10,1999
53313,1,2,1979
18519,2,10,1983
83923,1,2,1985
91315,2,7,1994
95316,1,4,1997
27049,2,8,1989
47231,1,2,1991
11885,1,1,1981
15431,1,12,1987
96247,2,6,1992
76317,2,11,1986
59469,2,6,1989
93458,1,12,1980
39449,1,7,1985
29572,2,9,2003
36395,1,1,1981
36875,1,9,1982
24396,2,3,1997
88241,1,3,1989
45442,1,8,1992
24142,1,2,2001
97024,1,8,1988
17722,2,10,1979
30803,2,10,1982
84194,1,8,1999
99058,2,12,1991
39422,1,1,1993
78453,1,1,1983
89788,2,11,1983
85764,1,6,1988
66373,1,2,2004
22317,2,9,1987
50129,1,4,1990
29722,1,7,1991
42944,2,8,1975
72741,1,9,1977
20767,2,2,1981
84418,1,5,1981
87314,1,12,1993
68588,2,12,1993
51569,1,9,1997
46378,1,4,1978
66138,2,1,1981
33108,2,8,1996
32385,1,4,1988
36953,2,4,1991
38361,1,11,1984
93527,2,9,1980
21175,1,9,1980
10866,1,7,1983
17841,1,11,1987
72579,1,6,1992
45550,2,5,1995
48882,1,11,1990
20355,2,11,1998
67343,2,12,1977
15889,1,5,1986
11356,2,9,1981
71168,2,12,1990
79099,2,10,1986
75926,2,10,1976
16594,1,4,1982
86917,2,1,1982
10733,1,6,1985
52592,1,7,1974
21048,2,6,1977
37096,1,1,1982
71147,2,6,1979
66675,1,10,1983
43051,1,5,1989
17082,1,1,1994
24211,2,6,1975
98586,1,8,1983
24098,2,12,1994
97793,2,1,1982
82287,1,3,1987
33147,2,6,1981
48140,1,5,1983
45216,1,2,1989
17050,1,2,1984
39729,1,3,1991
62342,2,3,1991
32055,1,1,1981
32232,1,7,1987
40695,2,3,1989
58630,1,4,1980
92198,2,12,1988
65623,1,2,1996
99564,2,1,1979
97677,1,5,1992
52458,1,1,1994
46957,2,1,1980
50553,2,9,1982
89260,2,7,1985
73740,2,11,1985
21718,1,4,1980
70270,2,9,1978
64775,1,9,1986
58594,2,11,1988
78008,2,11,1985
84107,1,11,1985
17802,1,3,1979
75061,1,7,1982
39142,2,9,1986
79400,2,5,1978
69000,2,8,1979
66865,2,3,1981
46835,2,10,1984
29850,2,9,1975
17572,2,12,1976
47032,1,8,1979
46307,1,9,1981
43713,2,10,1990
91049,1,12,1993
31296,1,2,1983
23234,1,2,1994
57217,2,7,1998
30406,1,7,1980
58783,2,9,1983
63224,2,7,1996
64494,2,7,1987
46699,1,7,1990
51076,2,7,1980
13560,2,8,1981
15234,1,9,1984
66293,1,10,1986
84383,2,4,1991
49474,2,3,1979
74199,1,4,1982
91746,1,2,1973
43291,1,7,1982
11851,2,2,1984
34552,1,5,1987
17845,2,9,1989
53839,1,9,1990
67591,2,2,1992
93150,1,12,1979
68313,2,5,1981
97457,1,10,1982
80561,1,6,1988
58809,2,7,1989
92235,2,10,1978
19680,1,10,1980
30103,2,9,1999
18132,1,5,1984
47912,2,4,1987
79081,1,10,1982
85737,2,5,1985
88597,1,12,1987
86073,1,6,1997
23214,2,7,1999
16630,1,11,1984
78190,2,11,1986
70838,2,6,1991
69348,1,11,1997
15482,1,7,1995
93362,2,1,1991
24855,1,3,1996
79536,1,8,1974
46094,2,8,1978
38401,2,6,1981
63322,2,12,1983
57500,1,6,1989
63369,1,7,1991
60516,2,1,1984
46913,1,8,1991
70447,1,5,1985
78573,2,4,1991
35836,1,12,1989
62245,2,9,1994
22614,1,8,1997
10471,2,2,1984
33705,2,11,1986
25146,1,6,1993
57684,1,11,1976
89411,1,11,1976
15512,1,5,1978
27051,2,1,1991
76078,1,4,2003
98204,1,8,2004
46251,2,11,1994
44240,1,8,1997
20836,2,11,2000
48989,1,6,1997
23696,1,11,1998
20174,2,8,2003
32959,1,6,1990
24163,2,4,1992
14496,2,8,1990
59268,1,2,1995
49447,2,11,1988
85463,1,8,1990
16611,2,3,1996
57993,2,3,1986
37210,1,9,1989
93048,1,8,2005
24657,2,1,2007
91333,2,4,1980
25911,1,10,1987
61125,2,12,1991
17504,2,9,1993
87151,2,12,1986
56761,2,10,1988
70786,2,6,1996
44321,1,5,1987
62582,1,3,1989
19972,2,8,1992
82678,1,1,1995
51593,2,9,1990
29897,1,11,1992
72442,1,3,1988
81672,2,10,1987
15873,1,12,1988
76325,2,2,1991
86544,1,3,1996
39319,2,6,1997
12067,2,4,1990
31663,2,1,1993
48534,2,8,1995
84519,1,4,1997
62646,1,5,2000
75904,1,7,1993
63535,2,3,1996
50418,1,10,1981
65355,1,8,1983
61135,2,9,1985
12236,2,4,1991
84672,2,5,1986
78184,1,6,1987
45985,2,9,1989
40173,1,11,1995
31006,2,9,1990
77347,2,9,1996
56218,1,5,1998
39207,2,9,1996
37009,1,9,1998
58643,1,1,2002
68541,1,7,1985
13734,2,6,1987
37184,2,9,1998
13543,1,9,1995
75196,1,1,2003
59099,2,7,1982
70430,2,12,1980
71095,1,2,1982
29133,1,12,1983
16243,1,5,1984
50753,2,6,1988
39263,2,9,1991
53340,1,12,1994
55637,1,11,1999
94854,2,4,1991
30261,1,1,1996
15389,2,2,1994
29149,2,10,1997
54608,2,6,1985
71585,1,8,1988
68113,1,2,1986
70008,2,5,1975
64760,2,8,1977
49731,1,2,1985
78352,1,3,1989
57347,2,3,1983
