CPUBID,year,piat_math,piat_recog,piat_comp
73340,1994,95,90,81
97416,2002,98,123,111
60183,1994,98,111,114
32238,2008,93,107,101
14868,1998,80,86,85
96982,1994,78,92,92
69267,1996,113,101,101
74279,1992,99,102,105
45099,1992,89,95,93
38979,2006,88,102,114
18812,2006,86,101,92
96231,1998,100,113,89
60859,2004,89,111,93
95764,1992,84,98,91
17438,2000,96,97,87
14688,1998,105,117,106
19239,1996,103,103,96
63086,1998,103,107,107
93053,2004,102,114,102
26908,1992,105,113,110
66791,2010,121,115,113
20512,2000,86,82,80
82973,2008,101,125,118
NA,2004,115,101,114
80003,1994,65,75,65
45664,2002,103,128,93
97512,2000,112,110,109
27293,2000,102,83,81
94079,2004,102,109,92
29436,1992,115,98,101
91828,1996,118,118,NA
74840,1998,131,135,131
39683,1992,97,90,92
47921,2000,65,91,77
43835,2000,108,107,111
78043,1994,87,95,77
76696,1992,106,87,NA
50123,2000,121,135,118
96656,2000,65,98,105
69067,2000,111,84,88
94563,2000,94,110,104
49267,1992,98,107,NA
16660,1992,91,97,97
41555,2000,91,92,88
27604,1998,135,135,NA
82349,1992,81,86,86
40318,1992,79,93,86
64949,2004,122,118,107
97782,1994,105,114,106
44052,1994,100,105,105
44398,1994,121,101,109
28698,1994,106,108,97
71665,1994,102,84,83
71909,2010,126,93,99
78107,2010,131,116,101
95764,1994,87,84,89
25891,1994,88,95,91
55808,1992,95,103,NA
11909,1992,117,114,126
19979,1994,103,102,NA
98880,1996,65,65,NA
67601,2004,99,115,84
45024,2012,110,97,97
34519,1994,83,128,98
21872,2010,72,79,78
40300,1996,93,88,NA
61136,2000,115,103,105
26144,2008,115,113,93
31726,2000,75,98,NA
51746,1992,123,102,NA
67492,2006,110,121,112
30484,1996,106,116,111
56703,1994,88,91,NA
50280,2008,118,113,115
50275,1992,99,85,NA
49695,1994,109,116,92
77271,2000,93,81,90
52977,1996,92,96,94
93109,1992,77,72,72
60890,2014,121,107,100
62227,1996,116,98,NA
14645,2006,125,135,107
73127,1994,74,74,69
81011,1994,120,128,125
11666,1994,88,103,NA
64585,2006,131,107,119
52223,1992,100,97,94
33855,1998,80,104,114
34728,1994,65,107,107
18778,1996,65,65,NA
56109,2002,105,108,105
99230,2002,126,105,93
22468,1998,105,82,88
51809,1996,97,103,NA
69534,2014,109,120,112
22050,2002,111,103,NA
23351,2002,106,90,99
54170,2000,116,121,117
85669,2002,113,123,106
72554,1992,107,112,117
76239,2004,128,112,102
52477,2006,117,103,108
37088,1994,82,100,81
87196,1998,115,118,105
60178,1994,102,113,92
27363,2006,107,108,107
96865,1992,116,106,NA
12087,2002,90,88,90
16812,1992,100,116,103
65067,2012,103,99,103
85935,1998,72,104,NA
39628,1998,110,135,112
26825,1998,118,98,101
71063,1992,94,98,102
17755,2004,107,102,110
55190,2008,125,109,116
25271,2006,102,105,113
96316,2008,95,114,118
39992,1994,80,79,81
17601,2010,102,103,103
64732,1992,74,103,NA
26214,2002,111,101,105
68363,1994,93,84,78
86073,2006,135,116,118
93587,1994,89,85,131
30203,1998,74,93,NA
25080,2000,75,69,NA
65467,1992,86,NA,NA
22370,2008,108,135,108
77673,1996,101,105,NA
82981,2006,98,103,80
11136,2006,96,96,102
83562,1996,126,116,107
45967,1996,89,86,77
15462,2008,98,95,95
98344,1994,79,95,97
72030,2008,65,65,NA
88008,1996,92,94,82
84163,2002,93,116,112
42363,1996,72,82,82
61897,2008,114,111,110
75670,1994,94,89,77
29496,1992,135,128,135
53750,1992,122,131,128
30046,2000,105,79,78
37238,1992,95,109,102
47377,1998,120,110,109
66564,1998,122,118,121
84755,2008,94,82,84
76160,2010,121,125,108
21718,1994,97,119,93
23868,2002,118,107,108
63112,1996,106,121,NA
99933,1998,84,84,75
17945,1992,103,113,95
90689,1994,69,72,NA
89886,1996,98,111,NA
59882,1992,69,94,82
51607,1998,114,98,100
62343,2002,100,120,107
17176,1998,105,113,117
43030,1994,101,84,81
82260,1996,93,135,98
71747,2010,119,116,114
76727,2002,100,100,90
38756,1992,102,106,116
75619,2000,108,135,114
78238,2002,108,95,96
17340,2006,95,90,86
20262,1992,105,126,NA
58521,1996,111,126,126
31059,1994,135,135,126
30803,1994,79,80,80
27929,1996,110,113,107
14796,1998,105,87,111
53038,2004,110,116,120
52063,1998,101,99,100
63648,2002,101,97,74
28160,1992,100,101,93
36873,1994,112,118,118
16582,1992,87,105,107
85764,2002,94,106,108
27281,1998,125,121,113
52013,1996,109,97,102
33723,2000,98,108,113
38458,1998,122,121,103
22558,2002,80,82,94
17953,1996,121,109,105
31189,2000,118,100,103
19372,2006,126,123,105
51698,1994,96,108,99
16250,2002,87,93,89
19331,1996,93,72,74
60423,1996,92,83,82
25374,1992,90,103,113
40224,1992,90,82,84
18590,1992,95,88,81
16262,1994,81,83,88
59744,1992,82,97,96
75158,1992,105,102,104
46699,2002,103,116,118
69188,2002,103,95,88
23290,1996,96,109,102
83432,2004,109,109,115
31893,1996,100,88,93
87983,1994,115,106,NA
99595,2004,95,110,86
55845,1994,105,102,105
12518,1992,93,98,75
48484,1992,106,126,NA
39291,2008,118,112,95
76730,1992,84,97,91
84984,2002,96,102,74
96742,2006,98,89,93
92504,1992,79,98,99
24438,2008,103,118,121
66312,2002,93,81,79
26214,2000,110,97,98
76245,2004,123,116,111
70135,2014,65,65,65
15783,2008,111,98,100
45731,1992,106,107,97
99548,2000,114,99,118
80873,1992,93,93,97
53489,2000,102,96,96
78639,1996,122,113,95
29302,2004,107,115,108
19486,1996,102,131,112
15462,2012,84,81,103
70251,1998,65,69,65
33975,1996,98,101,97
30291,1994,77,94,NA
40021,1992,98,112,116
99096,2000,114,113,99
65737,2004,118,128,123
18349,1996,90,103,98
73103,1992,106,100,102
33007,1996,108,94,91
83413,2000,98,106,103
52578,2002,92,79,72
96656,2004,72,92,86
57345,1998,123,131,119
71309,2000,125,116,126
73870,2002,91,95,100
67923,1992,65,74,74
43297,1998,114,85,110
93513,1998,100,103,83
66110,1992,104,105,95
30166,2006,111,119,131
76152,1994,110,114,100
10806,2004,126,122,125
15954,1992,96,94,NA
26327,1996,90,94,NA
29397,1996,116,113,93
43199,2006,121,101,94
34141,1996,112,92,NA
66981,1996,96,93,100
31177,2000,123,105,113
61949,2000,135,128,112
59607,2002,86,99,100
79356,1998,105,135,NA
45529,2010,114,114,107
99885,1998,95,107,87
23982,1998,65,69,69
63115,1996,88,114,99
77984,1994,85,93,94
81832,2012,111,105,97
98473,2004,109,131,116
73849,1992,99,115,122
13842,2000,126,122,119
67616,1992,87,89,74
86285,1994,86,104,98
54269,1996,135,135,NA
73693,1998,109,112,105
11039,1996,97,105,94
65570,1998,94,84,82
24130,2000,116,108,103
11358,2006,103,110,110
65248,1998,105,101,NA
19400,2006,85,98,98
52054,1996,88,86,NA
14034,1996,95,98,91
67580,2004,115,118,118
32095,1992,108,123,118
30170,2000,101,135,NA
51510,1998,115,114,101
88241,2002,104,91,89
36099,1996,107,111,117
20547,1996,100,91,100
43762,2002,115,121,120
78491,1994,92,95,99
98759,2000,98,100,NA
95287,2002,93,90,NA
17369,1994,100,105,96
42497,2006,90,98,NA
66675,1996,94,101,95
51514,2000,75,91,90
76560,1994,92,123,NA
83432,1998,122,135,NA
25146,1998,131,135,NA
90745,2000,135,108,113
54682,1992,74,97,NA
92306,1992,114,105,107
47003,1998,72,79,79
88037,1996,85,65,75
55541,2000,88,95,NA
10671,1996,93,103,NA
66252,2004,122,106,96
93935,2002,98,98,94
89398,1994,131,131,126
18103,1996,97,99,NA
89432,1992,92,105,101
99203,1994,98,103,114
18077,2008,85,110,96
39881,1996,99,88,86
17351,2004,69,87,72
47758,1994,86,95,96
43688,2008,135,135,115
39447,1992,65,69,91
NA,2006,89,104,105
80733,1996,88,93,90
15105,1994,93,98,92
32232,1996,99,102,100
13963,1998,90,78,82
26050,1998,103,97,97
45741,1992,98,94,103
71630,1998,82,95,97
41745,1996,113,117,93
13675,2000,107,118,99
22904,1994,88,86,75
59253,2000,101,105,86
58336,2002,104,94,102
63385,2004,135,108,122
91620,1994,98,109,101
30910,1998,97,109,108
39369,1994,105,117,120
21872,2004,88,94,NA
93282,1998,93,135,111
54871,1996,115,87,97
66857,2010,107,105,NA
21086,1994,97,75,78
41160,2006,109,102,110
64372,2002,86,88,91
68675,1998,121,135,89
43141,2002,108,120,120
31823,2006,117,106,114
55746,2000,96,92,NA
69480,2008,97,103,95
