CPUBID,year,piat_math,piat_recog,piat_comp
53128,1994,74,87,89
61763,2006,106,98,96
10866,1996,102,114,103
50954,1992,74,NA,NA
54991,1998,92,79,72
27165,2000,106,102,107
77271,1996,94,74,83
70986,1992,95,97,90
28188,2002,123,109,94
74933,2000,101,135,105
72492,2010,116,88,89
18720,1996,112,111,108
29171,1994,94,89,103
29316,2002,96,97,91
45060,1992,112,119,110
20836,2008,116,128,113
39927,2008,114,126,113
26620,1992,97,88,NA
39179,2002,96,107,96
34941,1992,109,98,84
79934,2006,114,99,114
32726,2010,93,100,102
10218,2004,117,106,104
24724,1998,102,112,107
93899,1998,98,81,82
57638,2002,102,125,102
80040,2002,100,115,106
72786,1998,120,102,107
98319,1994,105,103,98
57665,2000,112,135,126
76893,1996,98,98,88
63212,1996,118,81,93
85645,1992,95,104,115
68419,2000,111,114,109
31264,1998,109,118,102
37543,1996,105,97,83
29864,1994,107,116,125
25149,1994,97,107,104
21867,1998,93,96,104
18170,1998,93,88,97
42859,2000,84,108,95
52523,1992,105,87,100
87535,1994,65,75,74
60002,1992,107,128,118
17845,2000,101,119,93
64425,1992,91,105,116
73849,1994,120,105,88
64396,2010,104,119,NA
74807,2000,102,104,107
76594,1996,91,115,104
41922,1998,95,103,91
27661,2012,86,105,104
71336,1992,95,95,98
62468,1992,123,125,123
62148,1992,88,90,103
18687,1994,101,112,87
93441,1994,94,106,103
76947,1996,69,78,72
66028,1996,95,103,NA
21408,2002,93,97,84
11191,2000,108,110,102
18876,2004,107,116,103
49387,1998,97,116,65
68113,1994,118,112,123
19420,1994,98,98,96
59057,1998,113,100,114
46118,2006,102,100,103
17947,1992,77,106,NA
62582,1994,125,128,131
85453,2000,90,95,99
67272,1996,107,102,94
36055,1998,94,97,93
97499,1994,97,107,92
61394,1994,93,95,NA
28789,1996,110,108,94
94876,1998,87,82,78
95806,1996,87,97,102
17253,2000,97,95,111
82182,2004,80,100,96
86064,2004,113,101,109
99344,1992,90,82,88
78739,1994,93,116,113
85618,2004,103,131,123
29025,2000,88,98,103
87481,1992,109,110,110
11554,1996,100,105,86
85669,2000,118,116,123
19298,1998,91,81,93
98384,1992,107,112,118
37579,1998,87,115,100
70981,1996,101,120,NA
68663,1998,110,117,111
53861,1992,105,110,114
88818,1992,90,98,99
69038,1996,102,117,NA
40414,1994,81,77,79
99608,2002,104,87,93
66146,1996,95,103,106
45002,2000,97,102,89
88990,1994,87,90,NA
39280,2002,125,107,111
71032,2004,106,105,NA
48469,1992,89,122,103
83342,1992,99,99,98
47714,1998,114,112,103
78219,2008,86,74,82
57892,1994,100,109,107
63508,2008,135,115,108
16958,1996,107,135,116
55075,1992,77,103,NA
66312,1996,95,100,99
89492,1996,97,91,82
75999,1994,93,88,91
96240,1992,97,117,NA
91003,1998,86,65,NA
72982,1992,108,109,111
17969,1996,102,99,94
22418,1992,83,82,74
84228,1992,80,117,NA
48581,1996,109,116,97
76873,1994,82,105,98
42882,1996,117,111,98
71560,1994,98,95,NA
24265,1994,82,101,98
98766,1992,99,120,106
93642,1992,89,105,NA
44439,2000,105,135,117
66030,1994,87,69,77
38749,1992,108,113,116
96389,1998,97,105,100
86833,2004,113,109,94
81321,1998,107,115,108
60264,1996,123,135,119
62129,1998,115,107,109
62449,1998,110,125,112
45072,1994,104,106,105
77919,2000,125,121,115
58681,2008,121,118,105
79078,1998,95,95,93
67645,1996,102,128,122
65528,2002,82,91,NA
71521,1994,94,102,98
NA,2012,103,102,98
17335,1994,89,86,75
65618,1996,88,87,86
20871,2008,118,114,102
48205,1996,106,135,100
30016,1996,91,88,94
72662,1996,75,94,NA
