CPUBID,year,piat_math,piat_recog,piat_comp
44757,1994,84,101,87
13543,2006,98,107,111
46237,2004,113,123,105
96478,2002,114,126,103
98910,2004,106,100,112
17371,2006,106,116,93
16594,1996,112,119,110
18332,1992,72,80,NA
59744,1998,93,102,107
37991,2010,89,116,93
35805,2004,90,98,NA
10250,2004,135,135,131
17331,1994,98,120,105
89381,2000,86,99,87
94900,1994,84,100,94
24556,2000,89,120,114
92214,2010,91,116,75
89305,1992,93,98,99
27823,1998,97,99,116
84163,2000,104,107,95
11309,1998,91,105,97
98687,1996,122,116,97
14360,1998,119,135,113
79546,1996,82,81,78
10082,2000,92,89,85
17976,2010,72,74,82
74933,1996,110,126,118
33672,1998,87,97,109
86833,2006,93,114,97
52636,2002,93,84,86
90171,1998,69,93,91
53118,2008,108,87,97
36349,1996,97,118,98
41858,1992,100,94,NA
35268,1992,69,69,65
17577,2006,102,111,100
92689,2004,NA,93,99
46227,2002,116,103,103
20638,2000,103,106,94
62814,2002,100,107,98
25589,2006,95,98,90
33672,1996,94,94,102
35232,1996,92,118,117
90981,1996,65,65,83
51197,1996,72,80,77
57093,2002,102,81,84
39198,2004,94,104,100
95816,1994,110,99,98
75179,1996,106,135,NA
66708,2004,116,135,128
82112,1998,104,135,105
41044,2008,114,119,108
12162,1992,99,95,100
70930,1996,105,65,65
84341,1996,103,103,114
NA,1996,102,104,112
72333,1998,114,69,NA
75396,2004,117,104,104
51158,2002,125,121,118
81270,1992,102,110,116
62007,1992,104,109,108
27884,1992,101,111,NA
21591,1996,109,121,122
50364,1992,121,103,101
58009,1996,92,114,92
28130,2002,114,96,101
12783,1994,113,98,96
66816,2002,126,126,128
37759,1992,86,98,82
60960,1996,116,119,118
10528,1994,100,100,95
47913,1998,102,102,98
10826,1996,106,105,94
89469,1994,104,102,103
12317,1998,102,92,83
36546,2000,122,135,131
74874,2002,100,113,98
34592,1998,114,111,125
75856,1992,110,107,102
89753,1996,82,92,95
36447,1998,119,113,114
89318,2002,109,91,106
93965,2004,122,115,123
40224,1996,100,74,72
49240,2000,69,97,89
11091,2002,77,98,97
29302,2008,105,112,100
92189,2000,93,79,81
18518,1998,77,135,104
97179,2004,88,65,NA
43192,1996,88,79,NA
49387,1994,93,94,120
75619,2002,108,135,104
35060,1998,102,110,116
10492,2008,99,95,86
52672,1996,110,118,113
80124,2010,97,85,84
97718,2002,77,88,77
68689,1994,95,103,92
90072,1998,135,115,NA
72366,1994,98,105,93
21688,1998,113,128,112
13361,1992,99,113,114
92320,1996,125,107,115
49447,1996,103,114,125
31727,2002,82,93,86
27616,2006,114,116,107
78854,1994,104,111,97
98910,1996,114,109,NA
84654,2000,113,121,120
44199,1996,107,107,116
71257,1998,107,125,81
23497,1998,114,105,99
59469,2002,105,102,80
31328,2000,102,128,125
10568,1996,109,102,98
98910,1998,112,113,115
69997,1992,98,75,74
48278,1996,117,118,111
80625,1996,117,112,120
20464,2006,113,109,114
18795,2008,105,121,105
23965,1996,79,77,78
27623,1994,95,104,93
36040,2012,101,121,108
72787,1998,88,126,NA
57848,2006,98,109,110
89682,1998,103,111,105
59012,1998,84,96,NA
41451,2004,91,103,115
35005,1994,102,109,82
90675,1994,100,113,95
17765,1992,89,107,112
96201,1994,88,96,100
57836,1996,116,110,118
35686,1998,102,85,99
66198,2006,77,102,NA
99033,1996,106,118,90
59507,2008,114,135,118
80858,1996,86,118,107
22229,1992,110,123,118
20755,1994,106,120,NA
36912,1998,109,103,114
77045,2010,82,82,69
47137,2000,100,65,65
28480,1994,128,125,125
46867,1994,97,80,94
61572,2002,115,87,100
46299,1992,100,116,119
92773,1998,122,92,88
94257,2000,69,80,91
18260,1996,82,91,90
11672,1992,104,112,99
85916,2004,65,87,93
55988,2002,113,90,88
84198,2000,105,103,111
24063,2006,88,98,NA
37252,1996,109,131,125
93782,2000,109,87,NA
12043,2004,98,105,113
89965,1996,77,72,82
59454,1996,84,82,96
83838,2010,104,100,88
58453,2000,114,109,100
24952,2002,131,116,104
69315,1994,112,113,NA
63931,1992,95,116,109
94630,1994,83,94,89
95197,2002,122,92,92
49673,1992,65,92,NA
56475,1994,113,112,109
52433,1992,107,113,114
57857,1992,107,122,104
96503,2002,77,85,87
88919,1992,88,90,74
20018,2000,98,107,103
76824,2004,125,119,102
12906,1996,125,109,106
67661,1992,97,105,87
17985,2006,116,121,111
15499,2000,89,102,69
87198,2008,135,115,121
42394,1994,100,114,118
10490,1994,81,99,NA
21665,2004,105,135,135
82841,2006,87,102,89
56966,1998,82,85,84
23081,2002,95,135,121
82958,1994,107,111,102
88410,2002,100,102,93
49714,1992,91,93,97
20582,2004,65,65,NA
84519,2006,103,118,114
69380,2010,109,105,110
18104,2004,103,118,90
43869,1998,98,80,80
75196,2010,104,116,120
42638,2002,97,105,99
75505,1992,96,112,105
37360,2002,106,118,100
93053,2006,106,114,105
82689,1996,102,101,99
96523,2000,65,65,65
97502,1996,101,112,93
63341,1998,123,135,120
83505,1998,65,85,65
11019,1996,90,135,107
92908,1994,107,104,109
99706,2006,100,97,93
27079,2012,98,103,115
35998,2006,105,110,110
30707,1994,120,120,102
NA,2006,116,94,103
61192,1994,107,105,107
94001,2000,112,135,125
10930,1996,118,97,99
44903,2004,94,135,109
15434,1996,110,117,119
98892,1994,90,84,NA
69062,2002,123,113,115
38844,1996,86,65,69
63129,1994,86,100,102
58963,2002,106,106,108
35726,1994,89,111,101
49310,1994,103,97,95
38408,1992,97,107,107
67936,2002,104,103,95
33659,1998,106,108,105
89314,1998,87,94,87
40493,1998,102,113,NA
15937,1994,86,65,72
64074,1998,114,101,100
26103,2002,87,88,65
29897,2002,122,126,110
32942,2006,110,88,80
89038,2014,100,118,94
59579,1996,116,112,105
18901,1996,92,101,86
67612,1994,72,87,90
55694,2000,118,100,105
